CustomerID,CustomerName,Industry,Country,Segment
C00001,Customer 00001,Manufacturing,United Kingdom,Mid-Market
C00002,Customer 00002,Manufacturing,Canada,SMB
C00003,Customer 00003,Manufacturing,Singapore,Mid-Market
C00004,Customer 00004,Education,Germany,Enterprise
C00005,Customer 00005,Manufacturing,United Kingdom,Mid-Market
C00006,Customer 00006,Professional Services,United States,SMB
C00007,Customer 00007,Technology,Australia,Enterprise
C00008,Customer 00008,Technology,Canada,SMB
C00009,Customer 00009,Retail,Australia,Enterprise
C00010,Customer 00010,Retail,Germany,Enterprise
C00011,Customer 00011,Manufacturing,Australia,Mid-Market
C00012,Customer 00012,Healthcare,Australia,Enterprise
C00013,Customer 00013,Professional Services,United States,SMB
C00014,Customer 00014,Retail,Germany,Enterprise
C00015,Customer 00015,Manufacturing,United States,SMB
C00016,Customer 00016,Manufacturing,United Kingdom,Mid-Market
C00017,Customer 00017,Retail,Germany,Mid-Market
C00018,Customer 00018,Technology,Australia,Mid-Market
C00019,Customer 00019,Healthcare,Singapore,Enterprise
C00020,Customer 00020,Construction,United Kingdom,Enterprise
C00021,Customer 00021,Technology,Australia,SMB
C00022,Customer 00022,Technology,Germany,Mid-Market
C00023,Customer 00023,Construction,Germany,Enterprise
C00024,Customer 00024,Technology,United States,Enterprise
C00025,Customer 00025,Construction,Australia,Enterprise
C00026,Customer 00026,Healthcare,Australia,Mid-Market
C00027,Customer 00027,Technology,Canada,SMB
C00028,Customer 00028,Manufacturing,Canada,Enterprise
C00029,Customer 00029,Retail,United Kingdom,SMB
C00030,Customer 00030,Technology,Germany,Enterprise
C00031,Customer 00031,Construction,Australia,SMB
C00032,Customer 00032,Retail,Singapore,Enterprise
C00033,Customer 00033,Construction,United Kingdom,SMB
C00034,Customer 00034,Technology,Germany,Mid-Market
C00035,Customer 00035,Manufacturing,Australia,Mid-Market
C00036,Customer 00036,Technology,United States,SMB
C00037,Customer 00037,Construction,United States,Enterprise
C00038,Customer 00038,Technology,Canada,Mid-Market
C00039,Customer 00039,Healthcare,Canada,Enterprise
C00040,Customer 00040,Healthcare,United States,SMB
C00041,Customer 00041,Retail,United Kingdom,Mid-Market
C00042,Customer 00042,Technology,United States,SMB
C00043,Customer 00043,Retail,United States,SMB
C00044,Customer 00044,Healthcare,Germany,Mid-Market
C00045,Customer 00045,Construction,Australia,SMB
C00046,Customer 00046,Manufacturing,United States,SMB
C00047,Customer 00047,Retail,Australia,Mid-Market
C00048,Customer 00048,Retail,United Kingdom,Mid-Market
C00049,Customer 00049,Retail,Canada,Mid-Market
C00050,Customer 00050,Construction,Canada,SMB
C00051,Customer 00051,Professional Services,Australia,SMB
C00052,Customer 00052,Education,Canada,SMB
C00053,Customer 00053,Professional Services,Germany,Enterprise
C00054,Customer 00054,Construction,Australia,Enterprise
C00055,Customer 00055,Technology,Australia,Mid-Market
C00056,Customer 00056,Construction,United Kingdom,Mid-Market
C00057,Customer 00057,Professional Services,United States,Mid-Market
C00058,Customer 00058,Professional Services,United Kingdom,SMB
C00059,Customer 00059,Construction,Canada,Mid-Market
