InvoiceID,InvoiceDate,DueDate,PaidDate,CustomerID,EntityID,InvoiceAmountAUD,PaidAmountAUD,Status
AR000001,2026-01-22,2026-03-08,2026-05-12,C01133,E02,29436.76,29436.76,Paid
AR000002,2026-06-20,2026-08-19,2026-08-14,C00004,E01,3264.24,3264.24,Paid
AR000003,2025-06-20,2025-08-19,2025-08-23,C00784,E05,7160.88,7160.88,Paid
AR000004,2026-01-31,2026-03-02,2026-03-25,C00261,E02,7957.57,7957.57,Paid
AR000005,2024-12-06,2025-01-20,2025-02-06,C00570,E04,19412.36,19412.36,Paid
AR000006,2023-03-25,2023-04-24,2023-05-17,C00269,E03,13104.38,13104.38,Paid
AR000007,2025-05-16,2025-06-15,2025-07-04,C01416,E06,3415.49,3415.49,Paid
AR000008,2025-09-15,2025-10-15,2025-12-19,C01069,E02,2101.67,2101.67,Paid
AR000009,2023-07-26,2023-08-09,2023-09-26,C00064,E01,3417.61,3417.61,Paid
AR000010,2025-12-29,2026-01-12,2026-01-16,C01351,E01,14876.01,14876.01,Paid
AR000011,2023-06-16,2023-06-30,,C01300,E06,2272.13,0.0,Open
AR000012,2024-09-01,2024-10-01,2024-10-12,C00780,E06,5306.18,5306.18,Paid
AR000013,2023-10-15,2023-11-14,,C00014,E01,26180.68,0.0,Open
AR000014,2026-07-18,2026-08-01,2026-08-04,C01090,E02,24791.86,24791.86,Paid
AR000015,2026-07-22,2026-08-05,2026-08-12,C00178,E06,8158.23,8158.23,Paid
AR000016,2026-06-18,2026-07-18,2026-07-14,C00557,E01,6624.43,6624.43,Paid
AR000017,2025-07-18,2025-08-01,2025-10-03,C00991,E05,7419.17,7419.17,Paid
AR000018,2025-06-04,2025-07-19,2025-08-28,C00453,E01,13323.8,13323.8,Paid
AR000019,2026-08-26,2026-09-25,2026-10-30,C00003,E01,7618.12,7618.12,Paid
AR000020,2025-12-11,2026-01-25,2026-02-05,C00829,E03,8693.39,8693.39,Paid
AR000021,2023-04-01,2023-04-15,2023-04-18,C01038,E03,102943.82,102943.82,Paid
AR000022,2026-03-11,2026-04-25,2026-05-25,C00972,E03,17619.01,17619.01,Paid
AR000023,2025-11-01,2025-12-31,2025-12-31,C00319,E05,11870.77,11870.77,Paid
AR000024,2025-10-01,2025-11-30,,C00590,E05,1974.15,0.0,Open
AR000025,2023-01-22,2023-03-23,,C00330,E04,38604.86,0.0,Open
AR000026,2023-07-29,2023-09-12,2023-09-07,C00405,E06,4734.02,4734.02,Paid
AR000027,2026-06-16,2026-06-30,2026-07-14,C00897,E04,3883.51,3883.51,Paid
AR000028,2024-09-04,2024-11-03,2024-12-15,C00810,E01,8153.16,8153.16,Paid
