Month,EntityID,DepartmentID,AccountCode,BudgetAmountAUD
2022-01-01,E01,D01,4000,-4909.17
2022-01-01,E01,D01,4010,-5340.82
2022-01-01,E01,D01,4020,-9003.95
2022-01-01,E01,D01,5000,1296.67
2022-01-01,E01,D01,5010,8208.32
2022-01-01,E01,D01,5100,1804.05
2022-01-01,E01,D01,6000,4477.66
2022-01-01,E01,D01,6010,6376.58
2022-01-01,E01,D01,6020,4720.17
2022-01-01,E01,D01,6030,2774.15
2022-01-01,E01,D01,6040,5589.93
2022-01-01,E01,D01,6050,6951.52
2022-01-01,E01,D01,6060,2175.54
2022-01-01,E01,D01,6070,2506.41
2022-01-01,E01,D01,6080,9909.35
2022-01-01,E01,D01,6090,16870.29
2022-01-01,E01,D01,6100,2060.65
2022-01-01,E01,D01,6110,4176.71
2022-01-01,E01,D02,4000,-8328.58
2022-01-01,E01,D02,4010,-5794.19
2022-01-01,E01,D02,4020,-4468.36
2022-01-01,E01,D02,5000,5406.31
2022-01-01,E01,D02,5010,7013.49
2022-01-01,E01,D02,5100,4747.98
2022-01-01,E01,D02,6000,2795.58
2022-01-01,E01,D02,6010,2822.5
2022-01-01,E01,D02,6020,3515.3
2022-01-01,E01,D02,6030,1967.4
2022-01-01,E01,D02,6040,1865.4
2022-01-01,E01,D02,6050,1690.93
2022-01-01,E01,D02,6060,8991.85
2022-01-01,E01,D02,6070,5879.75
2022-01-01,E01,D02,6080,2012.01
2022-01-01,E01,D02,6090,1875.18
2022-01-01,E01,D02,6100,3959.2
2022-01-01,E01,D02,6110,3552.68
2022-01-01,E01,D03,4000,-15580.59
2022-01-01,E01,D03,4010,-15999.88
2022-01-01,E01,D03,4020,-9908.74
2022-01-01,E01,D03,5000,4888.39
2022-01-01,E01,D03,5010,1126.45
2022-01-01,E01,D03,5100,1646.88
2022-01-01,E01,D03,6000,5452.6
2022-01-01,E01,D03,6010,2466.46
2022-01-01,E01,D03,6020,1415.33
2022-01-01,E01,D03,6030,3419.1
2022-01-01,E01,D03,6040,2632.03
2022-01-01,E01,D03,6050,7375.55
2022-01-01,E01,D03,6060,3917.79
2022-01-01,E01,D03,6070,5128.66
2022-01-01,E01,D03,6080,1012.04
2022-01-01,E01,D03,6090,5940.88
2022-01-01,E01,D03,6100,1875.64
2022-01-01,E01,D03,6110,2445.58
2022-01-01,E01,D04,4000,-8017.09
2022-01-01,E01,D04,4010,-13000.79
2022-01-01,E01,D04,4020,-17007.29
2022-01-01,E01,D04,5000,2685.91
2022-01-01,E01,D04,5010,4140.43
2022-01-01,E01,D04,5100,2431.16
2022-01-01,E01,D04,6000,8667.58
2022-01-01,E01,D04,6010,7789.09
2022-01-01,E01,D04,6020,1459.92
2022-01-01,E01,D04,6030,8735.87
2022-01-01,E01,D04,6040,5306.58
2022-01-01,E01,D04,6050,1985.78
2022-01-01,E01,D04,6060,5062.27
2022-01-01,E01,D04,6070,3959.2
2022-01-01,E01,D04,6080,10228.14
2022-01-01,E01,D04,6090,5951.01
2022-01-01,E01,D04,6100,2866.2
2022-01-01,E01,D04,6110,1782.49
2022-01-01,E01,D05,4000,-17233.36
2022-01-01,E01,D05,4010,-3830.84
2022-01-01,E01,D05,4020,-5711.41
2022-01-01,E01,D05,5000,1804.61
2022-01-01,E01,D05,5010,4954.84
2022-01-01,E01,D05,5100,2498.67
2022-01-01,E01,D05,6000,2278.86
2022-01-01,E01,D05,6010,2636.37
2022-01-01,E01,D05,6020,5438.18
2022-01-01,E01,D05,6030,2585.11
2022-01-01,E01,D05,6040,2946.1
2022-01-01,E01,D05,6050,5804.88
2022-01-01,E01,D05,6060,2169.23
2022-01-01,E01,D05,6070,3971.15
2022-01-01,E01,D05,6080,3160.08
2022-01-01,E01,D05,6090,2431.61
2022-01-01,E01,D05,6100,3690.04
2022-01-01,E01,D05,6110,5116.55
2022-01-01,E01,D06,4000,-15648.27
2022-01-01,E01,D06,4010,-8019.18
2022-01-01,E01,D06,4020,-47427.71
2022-01-01,E01,D06,5000,3402.89
2022-01-01,E01,D06,5010,1109.96
2022-01-01,E01,D06,5100,2355.07
2022-01-01,E01,D06,6000,2760.09
2022-01-01,E01,D06,6010,2752.29
2022-01-01,E01,D06,6020,2293.43
2022-01-01,E01,D06,6030,9595.96
2022-01-01,E01,D06,6040,569.58
2022-01-01,E01,D06,6050,3626.94
2022-01-01,E01,D06,6060,5056.02
2022-01-01,E01,D06,6070,3871.22
2022-01-01,E01,D06,6080,2530.36
2022-01-01,E01,D06,6090,4552.93
2022-01-01,E01,D06,6100,1606.68
2022-01-01,E01,D06,6110,2396.25
2022-01-01,E01,D07,4000,-8911.28
2022-01-01,E01,D07,4010,-8253.16
2022-01-01,E01,D07,4020,-12002.32
2022-01-01,E01,D07,5000,2323.7
2022-01-01,E01,D07,5010,2953.68
2022-01-01,E01,D07,5100,10397.63
2022-01-01,E01,D07,6000,3530.18
2022-01-01,E01,D07,6010,7499.15
2022-01-01,E01,D07,6020,5027.77
2022-01-01,E01,D07,6030,1647.95
2022-01-01,E01,D07,6040,701.56
2022-01-01,E01,D07,6050,4510.38
2022-01-01,E01,D07,6060,2595.61
2022-01-01,E01,D07,6070,1283.85
2022-01-01,E01,D07,6080,2965.29
2022-01-01,E01,D07,6090,9586.43
2022-01-01,E01,D07,6100,1377.71
2022-01-01,E01,D07,6110,6661.17
2022-01-01,E01,D08,4000,-9280.05
2022-01-01,E01,D08,4010,-6289.24
2022-01-01,E01,D08,4020,-5576.55
2022-01-01,E01,D08,5000,8016.59
2022-01-01,E01,D08,5010,4686.01
2022-01-01,E01,D08,5100,3059.04
2022-01-01,E01,D08,6000,4014.28
2022-01-01,E01,D08,6010,4527.21
2022-01-01,E01,D08,6020,5161.83
2022-01-01,E01,D08,6030,1234.74
2022-01-01,E01,D08,6040,4580.16
2022-01-01,E01,D08,6050,7602.75
2022-01-01,E01,D08,6060,7306.12
2022-01-01,E01,D08,6070,8777.9
2022-01-01,E01,D08,6080,3033.02
2022-01-01,E01,D08,6090,5027.63
2022-01-01,E01,D08,6100,2642.09
2022-01-01,E01,D08,6110,2585.89
2022-01-01,E01,D09,4000,-12545.47
2022-01-01,E01,D09,4010,-10223.36
2022-01-01,E01,D09,4020,-6057.42
2022-01-01,E01,D09,5000,730.46
2022-01-01,E01,D09,5010,2711.93
2022-01-01,E01,D09,5100,1951.24
2022-01-01,E01,D09,6000,4149.7
2022-01-01,E01,D09,6010,2897.24
2022-01-01,E01,D09,6020,5647.61
2022-01-01,E01,D09,6030,3145.83
2022-01-01,E01,D09,6040,1767.61
2022-01-01,E01,D09,6050,4960.63
2022-01-01,E01,D09,6060,1756.56
2022-01-01,E01,D09,6070,2729.84
2022-01-01,E01,D09,6080,3340.9
2022-01-01,E01,D09,6090,4042.14
2022-01-01,E01,D09,6100,3562.35
2022-01-01,E01,D09,6110,2315.95
2022-01-01,E01,D10,4000,-2744.01
2022-01-01,E01,D10,4010,-6430.02
2022-01-01,E01,D10,4020,-15941.8
2022-01-01,E01,D10,5000,2744.48
2022-01-01,E01,D10,5010,4617.4
2022-01-01,E01,D10,5100,3410.54
2022-01-01,E01,D10,6000,2317.26
2022-01-01,E01,D10,6010,3888.43
2022-01-01,E01,D10,6020,2352.19
2022-01-01,E01,D10,6030,3920.0
2022-01-01,E01,D10,6040,6908.98
2022-01-01,E01,D10,6050,14666.1
2022-01-01,E01,D10,6060,3479.34
2022-01-01,E01,D10,6070,1358.89
2022-01-01,E01,D10,6080,4827.07
2022-01-01,E01,D10,6090,2087.05
2022-01-01,E01,D10,6100,2518.65
2022-01-01,E01,D10,6110,2458.57
2022-01-01,E02,D01,4000,-7021.63
2022-01-01,E02,D01,4010,-24605.24
2022-01-01,E02,D01,4020,-17933.72
2022-01-01,E02,D01,5000,5887.71
2022-01-01,E02,D01,5010,4518.67
2022-01-01,E02,D01,5100,5879.13
2022-01-01,E02,D01,6000,3352.78
2022-01-01,E02,D01,6010,2977.7
2022-01-01,E02,D01,6020,1886.78
2022-01-01,E02,D01,6030,1716.5
2022-01-01,E02,D01,6040,5567.35
2022-01-01,E02,D01,6050,4010.12
2022-01-01,E02,D01,6060,3080.6
2022-01-01,E02,D01,6070,6524.6
2022-01-01,E02,D01,6080,5719.43
2022-01-01,E02,D01,6090,3307.4
2022-01-01,E02,D01,6100,5343.04
2022-01-01,E02,D01,6110,3463.69
2022-01-01,E02,D02,4000,-3526.02
2022-01-01,E02,D02,4010,-6061.18
2022-01-01,E02,D02,4020,-18509.43
2022-01-01,E02,D02,5000,4638.54
2022-01-01,E02,D02,5010,1358.75
2022-01-01,E02,D02,5100,2776.94
2022-01-01,E02,D02,6000,2397.13
2022-01-01,E02,D02,6010,3260.81
2022-01-01,E02,D02,6020,3485.43
2022-01-01,E02,D02,6030,10056.57
2022-01-01,E02,D02,6040,4340.38
2022-01-01,E02,D02,6050,4537.08
2022-01-01,E02,D02,6060,10983.42
2022-01-01,E02,D02,6070,2198.35
2022-01-01,E02,D02,6080,10684.28
2022-01-01,E02,D02,6090,5751.93
2022-01-01,E02,D02,6100,5146.18
2022-01-01,E02,D02,6110,8058.5
2022-01-01,E02,D03,4000,-13022.22
2022-01-01,E02,D03,4010,-15466.52
2022-01-01,E02,D03,4020,-6433.6
2022-01-01,E02,D03,5000,7222.76
2022-01-01,E02,D03,5010,1433.3
2022-01-01,E02,D03,5100,4136.66
2022-01-01,E02,D03,6000,2409.12
2022-01-01,E02,D03,6010,6646.48
2022-01-01,E02,D03,6020,2241.68
2022-01-01,E02,D03,6030,745.74
2022-01-01,E02,D03,6040,2883.54
2022-01-01,E02,D03,6050,3324.77
2022-01-01,E02,D03,6060,4070.73
2022-01-01,E02,D03,6070,1858.31
2022-01-01,E02,D03,6080,2985.41
2022-01-01,E02,D03,6090,3201.26
2022-01-01,E02,D03,6100,4664.45
2022-01-01,E02,D03,6110,3517.34
2022-01-01,E02,D04,4000,-8150.24
2022-01-01,E02,D04,4010,-21678.49
2022-01-01,E02,D04,4020,-20343.02
2022-01-01,E02,D04,5000,6734.85
2022-01-01,E02,D04,5010,2493.62
2022-01-01,E02,D04,5100,2881.38
2022-01-01,E02,D04,6000,3013.35
2022-01-01,E02,D04,6010,5800.55
2022-01-01,E02,D04,6020,4535.35
2022-01-01,E02,D04,6030,2624.9
2022-01-01,E02,D04,6040,3480.68
2022-01-01,E02,D04,6050,861.26
2022-01-01,E02,D04,6060,2220.05
2022-01-01,E02,D04,6070,2233.01
2022-01-01,E02,D04,6080,1602.34
2022-01-01,E02,D04,6090,4530.16
2022-01-01,E02,D04,6100,3174.02
2022-01-01,E02,D04,6110,3482.55
2022-01-01,E02,D05,4000,-15154.29
2022-01-01,E02,D05,4010,-6109.21
2022-01-01,E02,D05,4020,-8560.05
2022-01-01,E02,D05,5000,1457.22
2022-01-01,E02,D05,5010,2620.36
2022-01-01,E02,D05,5100,4100.7
2022-01-01,E02,D05,6000,5716.21
2022-01-01,E02,D05,6010,6601.78
2022-01-01,E02,D05,6020,1842.05
2022-01-01,E02,D05,6030,1619.17
2022-01-01,E02,D05,6040,8996.39
2022-01-01,E02,D05,6050,4244.53
