Date,EntityID,ClosingCashAUD
2022-01-01,E01,2156701.32
2022-01-02,E01,2241224.35
2022-01-03,E01,2160967.6
2022-01-04,E01,2101710.83
2022-01-05,E01,2068845.58
2022-01-06,E01,2046319.6
2022-01-07,E01,2119889.24
2022-01-08,E01,2199338.42
2022-01-09,E01,2178919.86
2022-01-10,E01,2322109.6
2022-01-11,E01,2313752.15
2022-01-12,E01,2259505.27
2022-01-13,E01,2357972.15
2022-01-14,E01,2321555.93
2022-01-15,E01,2314012.78
2022-01-16,E01,2349406.02
2022-01-17,E01,2358108.14
2022-01-18,E01,2336867.29
2022-01-19,E01,2421162.91
2022-01-20,E01,2406724.48
2022-01-21,E01,2356257.6
2022-01-22,E01,2369757.06
2022-01-23,E01,2349794.43
2022-01-24,E01,2295249.76
2022-01-25,E01,2264849.29
2022-01-26,E01,2336359.93
2022-01-27,E01,2301314.75
2022-01-28,E01,2262267.62
2022-01-29,E01,2231614.21
2022-01-30,E01,2132728.86
2022-01-31,E01,2124552.03
2022-02-01,E01,2183577.38
2022-02-02,E01,2304534.58
2022-02-03,E01,2330984.87
2022-02-04,E01,2273755.12
2022-02-05,E01,2274562.2
2022-02-06,E01,2216326.17
2022-02-07,E01,2195763.73
2022-02-08,E01,2172115.32
2022-02-09,E01,2118669.78
2022-02-10,E01,2129387.36
2022-02-11,E01,2169194.23
2022-02-12,E01,2200220.68
2022-02-13,E01,2288606.19
2022-02-14,E01,2392388.67
2022-02-15,E01,2368128.01
2022-02-16,E01,2278084.19
2022-02-17,E01,2342892.54
2022-02-18,E01,2278674.51
2022-02-19,E01,2217386.43
2022-02-20,E01,2239320.0
2022-02-21,E01,2201231.0
2022-02-22,E01,2251582.54
2022-02-23,E01,2356532.25
2022-02-24,E01,2341575.02
2022-02-25,E01,2323843.66
2022-02-26,E01,2280659.45
2022-02-27,E01,2121166.71
2022-02-28,E01,2154075.16
2022-03-01,E01,2236533.52
2022-03-02,E01,2271353.82
2022-03-03,E01,2269091.99
2022-03-04,E01,2247669.46
2022-03-05,E01,2187592.11
2022-03-06,E01,2174765.58
2022-03-07,E01,2175780.1
2022-03-08,E01,2120096.27
2022-03-09,E01,1990041.11
2022-03-10,E01,1997684.18
2022-03-11,E01,2060100.21
2022-03-12,E01,1967845.1
2022-03-13,E01,1916649.55
2022-03-14,E01,2033654.92
2022-03-15,E01,2037695.6
2022-03-16,E01,2024812.91
2022-03-17,E01,1997446.41
2022-03-18,E01,2081610.17
2022-03-19,E01,2072475.71
2022-03-20,E01,2012927.95
2022-03-21,E01,2027665.29
2022-03-22,E01,2173947.28
2022-03-23,E01,2167988.95
2022-03-24,E01,2106431.38
2022-03-25,E01,2144519.73
2022-03-26,E01,2134308.08
2022-03-27,E01,2078454.16
2022-03-28,E01,2134023.37
2022-03-29,E01,2199421.18
2022-03-30,E01,2242405.07
2022-03-31,E01,2263246.74
2022-04-01,E01,2313308.41
2022-04-02,E01,2267471.39
2022-04-03,E01,2223018.7
2022-04-04,E01,2162590.66
2022-04-05,E01,2237084.22
2022-04-06,E01,2187006.78
2022-04-07,E01,2207102.09
2022-04-08,E01,2239724.93
2022-04-09,E01,2252927.92
2022-04-10,E01,2294327.32
2022-04-11,E01,2361103.71
2022-04-12,E01,2418472.3
2022-04-13,E01,2288004.11
2022-04-14,E01,2242161.84
2022-04-15,E01,2218463.93
2022-04-16,E01,2211398.02
2022-04-17,E01,2162461.93
2022-04-18,E01,2214946.69
2022-04-19,E01,2159847.56
2022-04-20,E01,2125552.61
2022-04-21,E01,2141024.04
2022-04-22,E01,2208954.86
2022-04-23,E01,2320434.37
2022-04-24,E01,2436286.84
2022-04-25,E01,2450610.25
2022-04-26,E01,2429231.19
2022-04-27,E01,2529171.5
2022-04-28,E01,2592802.49
2022-04-29,E01,2540769.44
2022-04-30,E01,2607678.54
2022-05-01,E01,2599696.29
2022-05-02,E01,2616899.48
2022-05-03,E01,2725066.43
2022-05-04,E01,2844937.52
2022-05-05,E01,2870010.53
2022-05-06,E01,2897730.26
2022-05-07,E01,2913295.42
2022-05-08,E01,2918985.15
2022-05-09,E01,2893982.98
2022-05-10,E01,2937648.18
2022-05-11,E01,2913631.61
2022-05-12,E01,2999017.66
2022-05-13,E01,3050773.66
2022-05-14,E01,3034495.37
2022-05-15,E01,2872447.7
2022-05-16,E01,2900710.64
2022-05-17,E01,2804072.88
2022-05-18,E01,2768886.66
2022-05-19,E01,2744620.43
2022-05-20,E01,2716468.88
2022-05-21,E01,2710071.07
2022-05-22,E01,2681284.57
2022-05-23,E01,2731017.15
2022-05-24,E01,2739327.1
2022-05-25,E01,2699552.62
2022-05-26,E01,2844970.2
2022-05-27,E01,2709312.31
2022-05-28,E01,2706102.94
2022-05-29,E01,2604311.86
2022-05-30,E01,2704958.85
2022-05-31,E01,2753354.76
2022-06-01,E01,2577505.28
2022-06-02,E01,2633035.81
2022-06-03,E01,2684052.15
2022-06-04,E01,2757938.4
2022-06-05,E01,2766312.17
2022-06-06,E01,2797494.2
2022-06-07,E01,2721200.62
2022-06-08,E01,2760222.03
2022-06-09,E01,2806742.05
2022-06-10,E01,2798947.92
2022-06-11,E01,2788347.58
2022-06-12,E01,2836134.13
2022-06-13,E01,2768391.06
2022-06-14,E01,2746349.42
2022-06-15,E01,2700201.01
2022-06-16,E01,2682336.8
2022-06-17,E01,2640380.82
2022-06-18,E01,2649931.66
2022-06-19,E01,2609590.8
2022-06-20,E01,2579271.73
2022-06-21,E01,2517570.59
2022-06-22,E01,2465642.3
2022-06-23,E01,2309233.77
2022-06-24,E01,2364974.92
2022-06-25,E01,2466901.32
2022-06-26,E01,2428199.69
2022-06-27,E01,2401404.56
2022-06-28,E01,2403586.27
2022-06-29,E01,2424336.7
2022-06-30,E01,2414439.77
2022-07-01,E01,2344520.8
2022-07-02,E01,2386108.46
2022-07-03,E01,2411725.77
2022-07-04,E01,2504255.43
2022-07-05,E01,2493870.96
2022-07-06,E01,2497225.14
2022-07-07,E01,2542860.71
2022-07-08,E01,2582848.08
2022-07-09,E01,2553778.15
2022-07-10,E01,2542516.38
2022-07-11,E01,2527887.32
2022-07-12,E01,2520071.19
2022-07-13,E01,2483170.73
2022-07-14,E01,2648133.84
2022-07-15,E01,2622502.18
2022-07-16,E01,2657413.88
2022-07-17,E01,2625712.28
2022-07-18,E01,2597665.14
2022-07-19,E01,2638967.18
2022-07-20,E01,2567181.87
2022-07-21,E01,2542269.43
2022-07-22,E01,2523651.63
2022-07-23,E01,2553849.12
2022-07-24,E01,2624300.6
2022-07-25,E01,2588732.72
2022-07-26,E01,2601636.1
2022-07-27,E01,2568377.61
2022-07-28,E01,2601829.99
2022-07-29,E01,2590280.84
2022-07-30,E01,2674999.8
2022-07-31,E01,2760552.55
2022-08-01,E01,2712025.44
2022-08-02,E01,2644189.93
2022-08-03,E01,2611270.71
2022-08-04,E01,2652977.89
2022-08-05,E01,2601703.73
2022-08-06,E01,2524575.88
2022-08-07,E01,2453044.96
2022-08-08,E01,2568478.72
2022-08-09,E01,2491655.66
2022-08-10,E01,2520867.92
2022-08-11,E01,2506490.45
2022-08-12,E01,2516788.24
2022-08-13,E01,2534302.23
2022-08-14,E01,2583246.06
2022-08-15,E01,2567257.53
2022-08-16,E01,2528784.36
2022-08-17,E01,2425036.24
2022-08-18,E01,2230932.06
2022-08-19,E01,2225282.11
2022-08-20,E01,2264635.43
2022-08-21,E01,2227411.81
2022-08-22,E01,2256653.91
2022-08-23,E01,2313708.48
2022-08-24,E01,2331740.02
2022-08-25,E01,2514927.72
2022-08-26,E01,2536934.64
2022-08-27,E01,2596506.9
2022-08-28,E01,2580097.15
2022-08-29,E01,2599890.04
2022-08-30,E01,2537153.55
2022-08-31,E01,2554911.83
