Month,EntityID,DepartmentID,AccountCode,ForecastAmountAUD,Scenario
2022-01-01,E01,D01,4000,-4020.63,Worst
2022-01-01,E01,D01,4010,-5175.34,Base
2022-01-01,E01,D01,4020,-8943.35,Worst
2022-01-01,E01,D01,5000,1218.14,Base
2022-01-01,E01,D01,5010,8414.27,Base
2022-01-01,E01,D01,5100,1585.16,Base
2022-01-01,E01,D01,6000,3890.67,Base
2022-01-01,E01,D01,6010,7109.76,Worst
2022-01-01,E01,D01,6020,4769.04,Best
2022-01-01,E01,D01,6030,2654.16,Base
2022-01-01,E01,D01,6040,5563.73,Best
2022-01-01,E01,D01,6050,7116.76,Base
2022-01-01,E01,D01,6060,2388.78,Base
2022-01-01,E01,D01,6070,2582.79,Base
2022-01-01,E01,D01,6080,12241.27,Base
2022-01-01,E01,D01,6090,14918.28,Base
2022-01-01,E01,D01,6100,2114.81,Best
2022-01-01,E01,D01,6110,4085.45,Best
2022-01-01,E01,D02,4000,-8571.01,Base
2022-01-01,E01,D02,4010,-5888.93,Base
2022-01-01,E01,D02,4020,-5275.6,Best
2022-01-01,E01,D02,5000,4954.6,Best
2022-01-01,E01,D02,5010,6410.85,Base
2022-01-01,E01,D02,5100,3944.4,Worst
2022-01-01,E01,D02,6000,2897.18,Best
2022-01-01,E01,D02,6010,3329.92,Base
2022-01-01,E01,D02,6020,3366.86,Worst
2022-01-01,E01,D02,6030,1717.4,Base
2022-01-01,E01,D02,6040,2034.1,Base
2022-01-01,E01,D02,6050,1746.33,Worst
2022-01-01,E01,D02,6060,8820.42,Base
2022-01-01,E01,D02,6070,6192.17,Best
2022-01-01,E01,D02,6080,2172.28,Worst
2022-01-01,E01,D02,6090,1972.8,Best
2022-01-01,E01,D02,6100,4101.81,Base
2022-01-01,E01,D02,6110,3551.36,Base
2022-01-01,E01,D03,4000,-13535.53,Base
2022-01-01,E01,D03,4010,-13716.1,Base
2022-01-01,E01,D03,4020,-10324.94,Base
2022-01-01,E01,D03,5000,5154.23,Base
2022-01-01,E01,D03,5010,1236.11,Worst
2022-01-01,E01,D03,5100,1564.75,Base
2022-01-01,E01,D03,6000,5635.64,Worst
2022-01-01,E01,D03,6010,2381.53,Base
2022-01-01,E01,D03,6020,1559.37,Worst
2022-01-01,E01,D03,6030,3245.81,Base
2022-01-01,E01,D03,6040,2632.44,Worst
2022-01-01,E01,D03,6050,6412.66,Worst
2022-01-01,E01,D03,6060,3737.64,Base
2022-01-01,E01,D03,6070,5398.71,Base
2022-01-01,E01,D03,6080,1145.84,Worst
2022-01-01,E01,D03,6090,6394.69,Base
2022-01-01,E01,D03,6100,2013.0,Worst
2022-01-01,E01,D03,6110,2529.13,Best
2022-01-01,E01,D04,4000,-7892.52,Base
2022-01-01,E01,D04,4010,-11533.69,Best
2022-01-01,E01,D04,4020,-18483.61,Base
2022-01-01,E01,D04,5000,2636.59,Base
2022-01-01,E01,D04,5010,4304.23,Base
2022-01-01,E01,D04,5100,2568.71,Best
2022-01-01,E01,D04,6000,9302.59,Base
2022-01-01,E01,D04,6010,7417.68,Base
2022-01-01,E01,D04,6020,1420.74,Worst
2022-01-01,E01,D04,6030,9037.46,Worst
2022-01-01,E01,D04,6040,4996.35,Best
2022-01-01,E01,D04,6050,2143.44,Worst
2022-01-01,E01,D04,6060,4435.86,Base
2022-01-01,E01,D04,6070,4439.46,Worst
2022-01-01,E01,D04,6080,9547.83,Base
2022-01-01,E01,D04,6090,5970.18,Base
2022-01-01,E01,D04,6100,3051.93,Best
2022-01-01,E01,D04,6110,1734.56,Best
2022-01-01,E01,D05,4000,-16184.68,Worst
2022-01-01,E01,D05,4010,-4081.39,Base
2022-01-01,E01,D05,4020,-5253.39,Worst
2022-01-01,E01,D05,5000,1946.69,Best
2022-01-01,E01,D05,5010,4772.38,Base
2022-01-01,E01,D05,5100,2696.93,Base
2022-01-01,E01,D05,6000,2255.41,Base
2022-01-01,E01,D05,6010,2486.61,Best
2022-01-01,E01,D05,6020,5258.14,Worst
2022-01-01,E01,D05,6030,2599.57,Base
2022-01-01,E01,D05,6040,3012.61,Base
2022-01-01,E01,D05,6050,5956.83,Worst
2022-01-01,E01,D05,6060,2101.59,Base
2022-01-01,E01,D05,6070,4470.92,Base
2022-01-01,E01,D05,6080,3027.28,Worst
2022-01-01,E01,D05,6090,2414.92,Base
