Date,Currency,AUDPerUnit
2022-01-01,AUD,1.0092
2022-01-01,USD,1.4929
2022-01-01,GBP,1.8487
2022-01-01,EUR,1.6271
2022-01-01,SGD,1.1414
2022-01-01,CAD,1.0989
2022-01-02,AUD,1.0047
2022-01-02,USD,1.51
2022-01-02,GBP,1.9017
2022-01-02,EUR,1.6473
2022-01-02,SGD,1.1235
2022-01-02,CAD,1.108
2022-01-03,AUD,1.0009
2022-01-03,USD,1.4922
2022-01-03,GBP,1.9241
2022-01-03,EUR,1.6433
2022-01-03,SGD,1.1645
2022-01-03,CAD,1.0939
2022-01-04,AUD,1.0056
2022-01-04,USD,1.5018
2022-01-04,GBP,1.9287
2022-01-04,EUR,1.6703
2022-01-04,SGD,1.1106
2022-01-04,CAD,1.0739
2022-01-05,AUD,0.9883
2022-01-05,USD,1.4841
2022-01-05,GBP,1.8857
2022-01-05,EUR,1.6028
2022-01-05,SGD,1.1527
2022-01-05,CAD,1.1197
2022-01-06,AUD,0.9817
2022-01-06,USD,1.4675
2022-01-06,GBP,1.9033
2022-01-06,EUR,1.6419
2022-01-06,SGD,1.1261
2022-01-06,CAD,1.0957
2022-01-07,AUD,0.985
2022-01-07,USD,1.5278
2022-01-07,GBP,1.9617
2022-01-07,EUR,1.7056
2022-01-07,SGD,1.1285
2022-01-07,CAD,1.1097
2022-01-08,AUD,0.9967
2022-01-08,USD,1.4536
2022-01-08,GBP,1.9496
2022-01-08,EUR,1.6761
2022-01-08,SGD,1.1329
2022-01-08,CAD,1.0947
2022-01-09,AUD,0.9752
2022-01-09,USD,1.4677
2022-01-09,GBP,1.9227
2022-01-09,EUR,1.6484
2022-01-09,SGD,1.1329
2022-01-09,CAD,1.0968
2022-01-10,AUD,0.985
2022-01-10,USD,1.5202
2022-01-10,GBP,1.9281
2022-01-10,EUR,1.6407
2022-01-10,SGD,1.1215
2022-01-10,CAD,1.0665
2022-01-11,AUD,0.9768
2022-01-11,USD,1.5564
2022-01-11,GBP,1.9506
2022-01-11,EUR,1.6479
2022-01-11,SGD,1.1278
2022-01-11,CAD,1.0903
2022-01-12,AUD,0.9979
2022-01-12,USD,1.4917
2022-01-12,GBP,1.9355
2022-01-12,EUR,1.6669
2022-01-12,SGD,1.1252
2022-01-12,CAD,1.1115
2022-01-13,AUD,1.0046
2022-01-13,USD,1.5317
2022-01-13,GBP,1.9352
2022-01-13,EUR,1.6559
2022-01-13,SGD,1.1216
2022-01-13,CAD,1.1113
2022-01-14,AUD,1.0074
2022-01-14,USD,1.5264
2022-01-14,GBP,1.9174
2022-01-14,EUR,1.6697
2022-01-14,SGD,1.1322
2022-01-14,CAD,1.116
2022-01-15,AUD,1.0045
2022-01-15,USD,1.5141
2022-01-15,GBP,1.8897
2022-01-15,EUR,1.664
2022-01-15,SGD,1.1264
2022-01-15,CAD,1.1139
2022-01-16,AUD,0.9805
2022-01-16,USD,1.5359
2022-01-16,GBP,1.8682
2022-01-16,EUR,1.6476
2022-01-16,SGD,1.1236
2022-01-16,CAD,1.0699
2022-01-17,AUD,1.0032
2022-01-17,USD,1.5413
2022-01-17,GBP,1.916
2022-01-17,EUR,1.6467
2022-01-17,SGD,1.1123
2022-01-17,CAD,1.1146
2022-01-18,AUD,1.0184
2022-01-18,USD,1.5409
2022-01-18,GBP,1.9797
2022-01-18,EUR,1.6379
2022-01-18,SGD,1.1185
2022-01-18,CAD,1.0908
2022-01-19,AUD,1.0092
2022-01-19,USD,1.4939
2022-01-19,GBP,1.9049
2022-01-19,EUR,1.6701
2022-01-19,SGD,1.1678
2022-01-19,CAD,1.1283
2022-01-20,AUD,1.0151
2022-01-20,USD,1.5146
2022-01-20,GBP,1.9047
2022-01-20,EUR,1.6399
2022-01-20,SGD,1.1012
2022-01-20,CAD,1.1213
2022-01-21,AUD,1.0037
2022-01-21,USD,1.5173
2022-01-21,GBP,1.9343
2022-01-21,EUR,1.6425
2022-01-21,SGD,1.1433
2022-01-21,CAD,1.0975
2022-01-22,AUD,1.0243
2022-01-22,USD,1.501
2022-01-22,GBP,1.8952
2022-01-22,EUR,1.6361
2022-01-22,SGD,1.1466
2022-01-22,CAD,1.1085
2022-01-23,AUD,1.0158
2022-01-23,USD,1.4826
2022-01-23,GBP,1.8905
2022-01-23,EUR,1.6366
2022-01-23,SGD,1.1308
2022-01-23,CAD,1.0932
2022-01-24,AUD,0.9958
2022-01-24,USD,1.5005
2022-01-24,GBP,1.9387
2022-01-24,EUR,1.6468
2022-01-24,SGD,1.1137
2022-01-24,CAD,1.0937
2022-01-25,AUD,0.9996
2022-01-25,USD,1.5368
2022-01-25,GBP,1.9453
2022-01-25,EUR,1.6601
2022-01-25,SGD,1.1287
2022-01-25,CAD,1.1094
2022-01-26,AUD,1.0021
2022-01-26,USD,1.4964
2022-01-26,GBP,1.9376
2022-01-26,EUR,1.6572
2022-01-26,SGD,1.1431
2022-01-26,CAD,1.078
2022-01-27,AUD,0.993
2022-01-27,USD,1.501
2022-01-27,GBP,1.928
2022-01-27,EUR,1.6832
2022-01-27,SGD,1.1529
2022-01-27,CAD,1.0946
2022-01-28,AUD,0.9863
2022-01-28,USD,1.5213
2022-01-28,GBP,1.934
2022-01-28,EUR,1.6653
2022-01-28,SGD,1.1284
2022-01-28,CAD,1.1141
2022-01-29,AUD,1.0182
2022-01-29,USD,1.5031
2022-01-29,GBP,1.8889
2022-01-29,EUR,1.6644
2022-01-29,SGD,1.1752
2022-01-29,CAD,1.1008
2022-01-30,AUD,1.0076
2022-01-30,USD,1.4955
2022-01-30,GBP,1.909
2022-01-30,EUR,1.641
2022-01-30,SGD,1.147
2022-01-30,CAD,1.1109
2022-01-31,AUD,1.0054
2022-01-31,USD,1.5206
2022-01-31,GBP,1.939
2022-01-31,EUR,1.7157
2022-01-31,SGD,1.131
2022-01-31,CAD,1.131
2022-02-01,AUD,1.0008
2022-02-01,USD,1.4786
2022-02-01,GBP,1.9458
2022-02-01,EUR,1.648
2022-02-01,SGD,1.1118
2022-02-01,CAD,1.088
2022-02-02,AUD,1.0057
