GLTxnID,Date,EntityID,DepartmentID,AccountCode,Currency,AmountLocal,CustomerID,VendorID,PostingStatus
GL0000001,2026-06-12,E04,D02,7100,SGD,-1137.99,,V0318,Posted
GL0000002,2025-12-26,E01,D09,4020,AUD,-5059.67,C01450,,Accrued
GL0000003,2024-01-25,E05,D05,5100,EUR,1902.19,,V0318,Posted
GL0000004,2023-03-12,E02,D05,7100,GBP,1128.86,,,Posted
GL0000005,2024-09-23,E04,D03,4000,SGD,-17160.92,C01244,,Posted
GL0000006,2022-08-09,E05,D02,6100,EUR,430.51,,V0177,Posted
GL0000007,2022-01-25,E06,D05,4000,CAD,-2780.4,,,Accrued
GL0000008,2026-02-19,E01,D07,5000,AUD,3400.09,,V0493,Posted
GL0000009,2024-03-21,E04,D01,6030,SGD,295.24,,,Accrued
GL0000010,2025-04-03,E02,D04,6000,GBP,546.1,,,Posted
GL0000011,2022-12-27,E03,D06,6090,USD,653.21,,V0307,Posted
GL0000012,2023-04-10,E06,D02,6020,CAD,1754.7,,V0266,Posted
GL0000013,2022-01-31,E02,D04,6040,GBP,584.94,,V0181,Posted
GL0000014,2022-02-10,E06,D04,7000,CAD,347.66,,,Posted
GL0000015,2022-04-03,E06,D09,7200,CAD,1175.77,,V0334,Accrued
GL0000016,2022-07-11,E05,D03,6070,EUR,524.21,,V0180,Posted
GL0000017,2025-04-24,E02,D09,4010,GBP,-4854.0,C00898,,Posted
GL0000018,2023-09-03,E01,D02,5100,AUD,3370.15,,V0068,Posted
GL0000019,2024-02-19,E01,D04,6060,AUD,390.83,,V0125,Posted
GL0000020,2026-05-04,E02,D07,6070,GBP,486.86,,,Posted
GL0000021,2022-10-24,E03,D06,7200,USD,1609.74,,V0157,Accrued
GL0000022,2026-08-14,E01,D05,6110,AUD,643.89,,,Posted
GL0000023,2023-05-19,E02,D08,4020,GBP,-1640.72,C01310,,Posted
GL0000024,2023-12-03,E05,D08,5000,EUR,5616.36,,V0238,Posted
GL0000025,2026-08-20,E03,D02,7200,USD,419.29,,V0240,Posted
GL0000026,2025-12-30,E05,D09,6010,EUR,1647.97,,,Posted
GL0000027,2025-12-24,E04,D08,7000,SGD,531.75,,V0233,Posted
GL0000028,2025-08-02,E05,D01,5000,EUR,731.52,,,Posted
GL0000029,2024-12-04,E06,D06,4000,CAD,-9480.08,C00241,,Posted
GL0000030,2023-01-17,E02,D10,4020,GBP,-1245.16,,,Posted
GL0000031,2023-09-29,E03,D05,4000,USD,-1781.73,C00970,,Accrued
GL0000032,2024-10-17,E01,D09,6070,AUD,1885.89,,,Posted
GL0000033,2026-04-07,E03,D02,6010,USD,2115.05,,V0114,Posted
GL0000034,2024-04-18,E02,D06,4000,GBP,-6023.41,C00042,,Posted
GL0000035,2022-01-10,E04,D01,7200,SGD,1853.86,,V0461,Posted
GL0000036,2026-03-23,E02,D05,6030,GBP,559.57,,V0459,Posted
GL0000037,2024-05-23,E01,D06,6080,AUD,293.71,,V0457,Accrued
GL0000038,2023-07-13,E02,D03,6040,GBP,1045.32,,V0486,Accrued
GL0000039,2026-03-17,E06,D06,7200,CAD,345.13,,,Posted
GL0000040,2025-12-17,E03,D01,6110,USD,1214.75,,,Accrued
GL0000041,2025-01-16,E03,D10,6050,USD,876.04,,V0226,Posted
GL0000042,2024-09-12,E04,D02,4000,SGD,-4329.69,C00486,,Posted
GL0000043,2026-03-20,E03,D01,6100,USD,231.76,,V0310,Posted
GL0000044,2026-07-26,E05,D03,6080,EUR,2804.87,,V0375,Posted
GL0000045,2022-07-09,E02,D01,6000,GBP,1733.7,,,Posted
GL0000046,2024-03-09,E04,D02,4010,SGD,-5101.8,C00562,,Posted
GL0000047,2022-06-11,E03,D07,6050,USD,971.1,,V0461,Posted
GL0000048,2026-02-11,E01,D04,7200,AUD,594.8,,,Posted
GL0000049,2023-07-23,E03,D09,4020,USD,-7004.81,C00081,,Posted
GL0000050,2025-03-05,E05,D08,4000,EUR,-2674.54,C00810,,Posted
GL0000051,2023-01-22,E06,D10,6090,CAD,1088.65,,,Posted
GL0000052,2025-07-09,E01,D09,6080,AUD,585.67,,V0433,Posted
GL0000053,2026-02-22,E05,D05,6100,EUR,605.95,,V0359,Posted
GL0000054,2023-06-09,E03,D08,5000,USD,2914.62,,,Accrued
GL0000055,2024-10-08,E06,D10,5010,CAD,1480.8,,,Posted
GL0000056,2025-04-06,E02,D06,7200,GBP,799.15,,,Posted
GL0000057,2024-04-13,E01,D08,6000,AUD,162.11,,V0414,Posted
GL0000058,2024-01-11,E03,D10,6000,USD,1057.44,,V0043,Posted
GL0000059,2022-07-07,E02,D02,6000,GBP,1420.23,,,Posted
GL0000060,2025-11-11,E03,D01,6070,USD,188.12,,V0014,Posted
GL0000061,2022-08-26,E02,D02,7100,GBP,1115.44,,,Posted
GL0000062,2026-05-19,E03,D04,7000,USD,444.93,,V0440,Posted
GL0000063,2025-05-20,E02,D04,4000,GBP,-9655.64,C00420,,Posted
GL0000064,2026-02-17,E03,D07,4020,USD,-1593.68,C00340,,Posted
GL0000065,2022-02-23,E04,D04,6000,SGD,2129.28,,,Posted
GL0000066,2022-02-02,E06,D02,6020,CAD,2187.79,,,Accrued
GL0000067,2026-05-25,E02,D01,7200,GBP,713.8,,V0209,Posted
GL0000068,2025-03-17,E02,D06,6000,GBP,2666.61,,,Posted
GL0000069,2023-02-26,E03,D06,6000,USD,405.56,,V0321,Accrued
GL0000070,2023-11-14,E05,D06,6110,EUR,6741.49,,V0011,Accrued
GL0000071,2024-10-29,E01,D06,4000,AUD,-2145.73,C00905,,Posted
GL0000072,2025-12-29,E03,D09,6000,USD,316.1,,V0490,Accrued
