ProductID,ProductName,Category,PrimarySupplierID,UnitCost,UnitPrice,LeadTimeDays,SafetyStockUnits
P00001,Product 00001,Home,S0072,10.94,23.09,29,109
P00002,Product 00002,Office,S0058,48.76,94.52,9,49
P00003,Product 00003,Electronics,S0083,20.57,34.71,17,75
P00004,Product 00004,Personal Care,S0010,29.62,53.57,15,39
P00005,Product 00005,Industrial,S0103,48.59,65.48,10,84
P00006,Product 00006,Industrial,S0011,72.3,106.66,30,106
P00007,Product 00007,Automotive,S0012,6.81,8.51,28,91
P00008,Product 00008,Automotive,S0043,31.93,71.01,12,34
P00009,Product 00009,Industrial,S0060,17.74,28.24,18,56
P00010,Product 00010,Electronics,S0053,55.13,110.53,22,24
P00011,Product 00011,Home,S0054,11.54,23.12,10,105
P00012,Product 00012,Electronics,S0097,41.48,79.29,19,106
P00013,Product 00013,Industrial,S0082,18.1,26.36,12,80
P00014,Product 00014,Automotive,S0025,18.57,33.88,17,40
P00015,Product 00015,Office,S0097,57.0,88.39,26,76
P00016,Product 00016,Industrial,S0061,275.53,481.24,24,110
P00017,Product 00017,Electronics,S0092,23.65,38.34,16,102
P00018,Product 00018,Home,S0097,104.76,143.77,22,113
P00019,Product 00019,Electronics,S0007,49.99,110.82,28,62
P00020,Product 00020,Automotive,S0015,18.23,35.8,5,81
P00021,Product 00021,Office,S0043,29.6,55.5,24,80
P00022,Product 00022,Office,S0093,62.74,121.27,8,81
P00023,Product 00023,Automotive,S0004,27.35,52.06,17,79
P00024,Product 00024,Industrial,S0086,30.04,55.59,7,14
P00025,Product 00025,Industrial,S0031,58.73,90.3,10,92
P00026,Product 00026,Outdoor,S0053,48.88,93.0,29,91
P00027,Product 00027,Personal Care,S0027,67.56,143.91,25,43
P00028,Product 00028,Outdoor,S0082,98.02,134.62,20,100
P00029,Product 00029,Personal Care,S0041,223.85,432.9,18,72
P00030,Product 00030,Outdoor,S0028,62.09,115.44,27,117
P00031,Product 00031,Personal Care,S0034,33.47,62.58,7,88
P00032,Product 00032,Personal Care,S0107,41.77,56.74,19,13
P00033,Product 00033,Industrial,S0120,24.46,41.67,21,61
P00034,Product 00034,Industrial,S0084,78.75,107.9,25,86
P00035,Product 00035,Automotive,S0005,64.3,97.54,5,30
P00036,Product 00036,Outdoor,S0088,112.86,200.2,9,22
P00037,Product 00037,Industrial,S0106,28.06,35.83,19,102
P00038,Product 00038,Automotive,S0117,10.81,15.31,16,25
P00039,Product 00039,Electronics,S0062,25.95,51.31,11,69
P00040,Product 00040,Home,S0096,113.64,191.97,16,84
P00041,Product 00041,Home,S0016,14.95,21.37,16,23
P00042,Product 00042,Automotive,S0051,63.25,136.67,25,84
P00043,Product 00043,Home,S0053,55.35,112.52,19,24
P00044,Product 00044,Electronics,S0016,235.94,335.81,16,63
P00045,Product 00045,Personal Care,S0085,34.11,48.61,7,109
P00046,Product 00046,Automotive,S0028,66.13,118.08,19,94
P00047,Product 00047,Outdoor,S0011,8.43,17.89,5,33
P00048,Product 00048,Electronics,S0084,30.15,45.51,16,17
P00049,Product 00049,Outdoor,S0061,35.7,55.22,10,13
P00050,Product 00050,Office,S0092,73.45,134.38,11,57
P00051,Product 00051,Industrial,S0060,13.32,26.46,13,79
P00052,Product 00052,Office,S0104,41.2,81.26,7,78
P00053,Product 00053,Electronics,S0001,117.38,180.3,18,108
P00054,Product 00054,Automotive,S0033,56.62,129.67,27,82
P00055,Product 00055,Industrial,S0042,144.87,307.9,21,96
P00056,Product 00056,Outdoor,S0038,26.36,35.32,26,116
P00057,Product 00057,Electronics,S0069,41.24,88.36,5,82
P00058,Product 00058,Outdoor,S0105,29.55,58.94,28,85
P00059,Product 00059,Industrial,S0117,104.19,201.68,17,36
P00060,Product 00060,Electronics,S0081,42.2,90.59,19,87
P00061,Product 00061,Outdoor,S0048,121.52,247.81,22,47
P00062,Product 00062,Office,S0024,37.68,67.51,8,22
P00063,Product 00063,Office,S0105,29.16,65.54,14,90
P00064,Product 00064,Office,S0099,121.89,155.9,26,38
P00065,Product 00065,Outdoor,S0095,10.39,15.14,17,68
P00066,Product 00066,Industrial,S0110,46.85,79.22,15,87
P00067,Product 00067,Industrial,S0072,131.9,186.15,9,54
P00068,Product 00068,Electronics,S0108,9.29,14.24,12,16
P00069,Product 00069,Industrial,S0071,87.25,173.08,14,63
P00070,Product 00070,Electronics,S0042,47.23,75.5,13,26
P00071,Product 00071,Automotive,S0087,61.37,96.21,21,116
P00072,Product 00072,Industrial,S0072,31.18,39.74,7,51
P00073,Product 00073,Electronics,S0049,147.95,288.27,17,35
P00074,Product 00074,Home,S0046,100.96,126.78,17,32
P00075,Product 00075,Home,S0094,69.71,91.85,17,29
P00076,Product 00076,Electronics,S0007,27.68,54.78,27,66
P00077,Product 00077,Industrial,S0015,14.56,18.2,13,29
P00078,Product 00078,Personal Care,S0046,25.68,49.43,28,47
P00079,Product 00079,Outdoor,S0051,23.08,49.35,25,47
P00080,Product 00080,Industrial,S0056,109.98,203.14,17,56
P00081,Product 00081,Personal Care,S0078,111.06,177.52,27,90
P00082,Product 00082,Industrial,S0087,66.09,97.66,12,91
P00083,Product 00083,Home,S0060,45.16,63.26,20,71
P00084,Product 00084,Home,S0050,45.28,87.19,18,56
P00085,Product 00085,Outdoor,S0120,116.29,200.13,29,37
P00086,Product 00086,Office,S0090,11.34,20.89,25,32
P00087,Product 00087,Office,S0038,48.11,100.6,28,114
P00088,Product 00088,Automotive,S0032,36.23,53.85,7,36
P00089,Product 00089,Office,S0095,14.22,29.74,11,43
P00090,Product 00090,Electronics,S0034,38.44,73.21,23,118
P00091,Product 00091,Personal Care,S0067,97.05,162.39,27,43
P00092,Product 00092,Personal Care,S0104,30.41,69.23,30,15
P00093,Product 00093,Outdoor,S0016,35.1,80.53,28,10
P00094,Product 00094,Personal Care,S0056,319.94,384.8,30,38
P00095,Product 00095,Personal Care,S0056,41.89,87.74,15,112
P00096,Product 00096,Outdoor,S0015,52.21,91.5,7,85
P00097,Product 00097,Personal Care,S0054,123.06,271.57,5,80
P00098,Product 00098,Personal Care,S0060,15.05,33.56,14,98
P00099,Product 00099,Outdoor,S0078,84.11,169.3,15,101
P00100,Product 00100,Industrial,S0036,97.11,126.98,6,15
P00101,Product 00101,Outdoor,S0091,100.23,176.27,11,102
P00102,Product 00102,Office,S0036,71.34,152.17,22,21
P00103,Product 00103,Electronics,S0100,28.8,64.66,18,21
P00104,Product 00104,Electronics,S0071,24.08,49.26,22,37
P00105,Product 00105,Outdoor,S0114,58.51,97.79,8,52
P00106,Product 00106,Home,S0039,30.91,53.7,12,50
P00107,Product 00107,Outdoor,S0104,27.03,56.67,8,49
P00108,Product 00108,Electronics,S0055,44.09,95.23,14,17
P00109,Product 00109,Automotive,S0045,158.7,276.3,13,35
P00110,Product 00110,Office,S0053,23.2,44.17,9,54
P00111,Product 00111,Home,S0085,19.68,44.78,22,100
P00112,Product 00112,Automotive,S0101,73.28,92.83,16,37
P00113,Product 00113,Automotive,S0054,73.27,125.05,13,34
P00114,Product 00114,Office,S0028,6.75,8.64,9,81
P00115,Product 00115,Office,S0054,56.52,76.91,19,18
P00116,Product 00116,Outdoor,S0029,66.03,123.23,25,74
P00117,Product 00117,Home,S0023,52.73,95.78,25,58
P00118,Product 00118,Outdoor,S0076,39.9,81.2,20,97
P00119,Product 00119,Home,S0042,62.12,80.24,28,34
P00120,Product 00120,Electronics,S0063,27.59,39.45,21,106
P00121,Product 00121,Home,S0057,70.43,161.73,23,17
P00122,Product 00122,Electronics,S0001,28.47,44.15,8,113
P00123,Product 00123,Automotive,S0036,84.9,176.21,19,37
P00124,Product 00124,Electronics,S0068,24.59,40.38,6,93
P00125,Product 00125,Home,S0044,14.11,24.13,21,51
P00126,Product 00126,Personal Care,S0114,122.98,226.45,29,64
P00127,Product 00127,Office,S0081,25.51,46.9,26,100
P00128,Product 00128,Home,S0047,43.59,97.25,9,104
P00129,Product 00129,Home,S0120,80.36,121.2,19,27
P00130,Product 00130,Automotive,S0011,35.35,69.42,14,39
P00131,Product 00131,Electronics,S0050,30.02,57.91,22,51
P00132,Product 00132,Electronics,S0061,74.65,92.29,13,27
P00133,Product 00133,Electronics,S0086,5.23,11.99,27,84
P00134,Product 00134,Industrial,S0043,8.23,18.09,27,78
P00135,Product 00135,Office,S0114,35.69,51.25,8,104
