SnapshotDate,ProductID,WarehouseID,OnHandUnits,InventoryValue,InboundUnits
2024-09-02,P00001,W01,137,1498.78,23
2024-09-09,P00001,W01,162,1772.28,10
2024-09-16,P00001,W01,169,1848.86,28
2024-09-23,P00001,W01,172,1881.68,20
2024-09-30,P00001,W01,220,2406.8,16
2024-10-07,P00001,W01,215,2352.1,27
2024-10-14,P00001,W01,239,2614.66,12
2024-10-21,P00001,W01,281,3074.14,24
2024-10-28,P00001,W01,319,3489.86,17
2024-11-04,P00001,W01,355,3883.7,26
2024-11-11,P00001,W01,364,3982.16,15
2024-11-18,P00001,W01,373,4080.62,1
2024-11-25,P00001,W01,411,4496.34,12
2024-12-02,P00001,W01,435,4758.9,15
2024-12-09,P00001,W01,460,5032.4,22
2024-12-16,P00001,W01,490,5360.6,8
2024-12-23,P00001,W01,540,5907.6,28
2024-12-30,P00001,W01,540,5907.6,4
2025-01-06,P00001,W01,535,5852.9,12
2025-01-13,P00001,W01,592,6476.48,25
2025-01-20,P00001,W01,595,6509.3,8
2025-01-27,P00001,W01,651,7121.94,27
2025-02-03,P00001,W01,654,7154.76,10
2025-02-10,P00001,W01,661,7231.34,3
2025-02-17,P00001,W01,700,7658.0,2
2025-02-24,P00001,W01,755,8259.7,9
2025-03-03,P00001,W01,773,8456.62,23
2025-03-10,P00001,W01,803,8784.82,0
2025-03-17,P00001,W01,863,9441.22,4
2025-03-24,P00001,W01,923,10097.62,22
2025-03-31,P00001,W01,920,10064.8,9
2025-04-07,P00001,W01,946,10349.24,22
2025-04-14,P00001,W01,957,10469.58,13
2025-04-21,P00001,W01,990,10830.6,29
2025-04-28,P00001,W01,1014,11093.16,9
2025-05-05,P00001,W01,1063,11629.22,21
2025-05-12,P00001,W01,1063,11629.22,21
2025-05-19,P00001,W01,1073,11738.62,17
2025-05-26,P00001,W01,1113,12176.22,25
2025-06-02,P00001,W01,1149,12570.06,19
2025-06-09,P00001,W01,1206,13193.64,14
2025-06-16,P00001,W01,1210,13237.4,19
2025-06-23,P00001,W01,1243,13598.42,5
2025-06-30,P00001,W01,1301,14232.94,18
2025-07-07,P00001,W01,1314,14375.16,26
2025-07-14,P00001,W01,1343,14692.42,24
2025-07-21,P00001,W01,1364,14922.16,10
2025-07-28,P00001,W01,1391,15217.54,16
2025-08-04,P00001,W01,1414,15469.16,5
2025-08-11,P00001,W01,1453,15895.82,29
2025-08-18,P00001,W01,1448,15841.12,12
2025-08-25,P00001,W01,1498,16388.12,13
2025-09-01,P00001,W01,1555,17011.7,15
2025-09-08,P00001,W01,1590,17394.6,7
2025-09-15,P00001,W01,1581,17296.14,29
2025-09-22,P00001,W01,1575,17230.5,16
2025-09-29,P00001,W01,1577,17252.38,25
2025-10-06,P00001,W01,1576,17241.44,11
2025-10-13,P00001,W01,1616,17679.04,28
2025-10-20,P00001,W01,1616,17679.04,25
2025-10-27,P00001,W01,1637,17908.78,14
2025-11-03,P00001,W01,1649,18040.06,24
