PurchaseOrderID,OrderDate,SupplierID,ProductID,WarehouseID,QuantityOrdered,POValue,ExpectedReceiptDate,ActualReceiptDate,DefectRate,Status
PO000001,2023-06-16,S0043,P00669,W03,130,9771.66,2023-07-16,2023-07-26,0.0198,Received
PO000002,2026-01-01,S0052,P00436,W01,324,19386.69,2026-01-20,2026-01-20,0.0543,Received
PO000003,2026-04-21,S0038,P00868,W04,40,822.89,2026-05-10,2026-05-10,0.0111,Received
PO000004,2024-09-25,S0032,P00720,W04,378,12540.67,2024-10-09,2024-10-20,0.0296,Received
PO000005,2025-05-31,S0008,P00344,W05,439,20522.28,2025-06-17,2025-06-28,0.0176,Received
PO000006,2026-03-31,S0009,P00928,W06,52,4483.74,2026-04-10,2026-04-12,0.0368,Received
PO000007,2025-10-26,S0081,P00296,W06,154,36177.59,2025-11-05,2025-11-10,0.0037,Received
PO000008,2024-08-05,S0113,P00464,W01,149,12573.47,2024-08-30,2024-09-05,0.0404,Received
PO000009,2026-04-11,S0080,P00537,W04,471,32555.49,2026-04-20,2026-04-20,0.0197,Received
PO000010,2026-05-15,S0081,P00060,W01,209,9475.13,2026-06-03,2026-06-03,0.0201,Received
PO000011,2025-08-13,S0104,P00052,W06,453,18050.42,2025-08-20,2025-08-25,0.0178,Received
PO000012,2026-02-27,S0103,P00597,W02,147,5810.81,2026-03-19,2026-03-19,0.0491,Received
PO000013,2025-03-14,S0041,P00323,W04,359,30115.45,2025-04-12,2025-04-15,0.0009,Received
PO000014,2024-04-26,S0010,P00958,W03,371,44145.57,2024-05-25,2024-05-25,0.0075,Received
PO000015,2023-06-28,S0061,P00132,W05,96,7249.22,2023-07-11,2023-07-11,0.0749,Received
PO000016,2025-02-01,S0046,P00655,W02,76,9249.45,2025-03-03,2025-03-03,0.0164,Received
PO000017,2023-02-23,S0007,P00076,W02,424,11785.75,2023-03-22,2023-03-26,0.0099,Received
PO000018,2023-06-25,S0056,P00095,W06,466,19898.36,2023-07-10,2023-07-10,0.0582,Received
PO000019,2025-09-16,S0057,P00940,W01,87,7332.72,2025-10-15,2025-10-15,0.0228,Received
PO000020,2024-12-24,S0070,P00820,W01,362,20055.32,2025-01-19,2025-01-21,0.0249,Received
PO000021,2026-03-14,S0120,P00412,W04,445,30808.8,2026-04-08,2026-04-08,0.0452,Received
PO000022,2025-08-02,S0095,P00510,W06,309,16304.62,2025-08-14,2025-08-18,0.0087,Received
PO000023,2024-11-14,S0064,P00746,W06,433,31364.25,2024-11-29,2024-12-02,0.0372,Received
PO000024,2025-05-09,S0052,P00394,W04,274,53240.05,2025-05-19,2025-05-20,0.0395,Received
PO000025,2025-08-10,S0040,P00252,W06,140,4694.15,2025-09-04,2025-09-04,0.0405,Received
PO000026,2023-09-05,S0042,P00119,W01,269,16070.0,2023-10-03,2023-10-05,0.0073,Received
PO000027,2023-09-13,S0080,P00891,W04,103,11639.72,2023-09-30,2023-10-05,0.0937,Received
PO000028,2026-06-21,S0043,P00830,W01,323,12957.01,2026-06-26,2026-06-26,0.0313,Received
PO000029,2023-07-28,S0088,P00036,W06,334,39343.41,2023-08-06,2023-08-09,0.0452,Received
PO000030,2025-02-15,S0113,P00431,W01,118,1415.66,2025-02-26,2025-02-28,0.0254,Received
PO000031,2024-01-03,S0120,P00710,W03,418,7585.45,2024-01-28,2024-02-01,0.076,Received
PO000032,2026-04-13,S0066,P00858,W03,450,21400.24,2026-05-10,2026-05-10,0.0164,Received
PO000033,2024-10-11,S0040,P00429,W04,84,9130.47,2024-10-30,2024-10-30,0.0958,Received
PO000034,2025-03-11,S0051,P00955,W02,453,5675.68,2025-04-05,2025-04-06,0.0676,Received
PO000035,2024-07-03,S0053,P00139,W01,292,23991.07,2024-07-09,2024-07-09,0.0256,Received
PO000036,2025-01-08,S0053,P00043,W03,59,3456.41,2025-01-27,2025-01-28,0.0214,Received
PO000037,2025-05-27,S0074,P00925,W03,105,6393.16,2025-06-02,2025-06-04,0.046,Received
PO000038,2026-08-11,S0019,P00648,W04,197,9805.85,2026-09-08,2026-09-13,0.0759,Open
PO000039,2023-09-24,S0029,P00929,W06,451,17857.07,2023-10-23,2023-10-23,0.0426,Received
PO000040,2026-03-19,S0109,P00581,W03,304,11370.59,2026-04-16,2026-04-17,0.0416,Received
PO000041,2024-08-27,S0104,P00665,W02,79,4510.63,2024-09-10,2024-09-10,0.0326,Received
PO000042,2023-12-04,S0110,P00356,W06,364,20323.78,2023-12-11,2023-12-13,0.0344,Received
PO000043,2023-04-10,S0106,P00654,W01,53,2395.16,2023-04-26,2023-04-27,0.0219,Received
PO000044,2026-04-15,S0004,P00584,W01,173,53795.75,2026-04-20,2026-05-02,0.0696,Received
PO000045,2025-09-09,S0089,P00653,W05,109,2389.28,2025-09-25,2025-09-25,0.0433,Received
PO000046,2024-08-08,S0095,P00966,W02,483,11950.83,2024-08-18,2024-08-19,0.0657,Received
PO000047,2024-06-14,S0025,P00014,W02,297,5662.26,2024-07-01,2024-07-01,0.0195,Received
PO000048,2024-05-13,S0114,P00451,W01,354,32281.77,2024-06-03,2024-06-07,0.0079,Received
PO000049,2023-05-02,S0059,P00620,W02,448,42604.85,2023-05-10,2023-05-15,0.0243,Received
PO000050,2026-07-19,S0056,P00095,W02,474,19061.34,2026-08-03,2026-08-06,0.0098,Received
PO000051,2023-12-02,S0015,P00354,W06,32,1801.61,2023-12-08,2023-12-08,0.0248,Received
PO000052,2026-06-10,S0086,P00250,W06,436,1915.83,2026-06-27,2026-07-03,0.0099,Received
PO000053,2025-11-07,S0108,P00432,W01,398,30716.06,2025-12-06,2025-12-11,0.0063,Received
PO000054,2026-02-07,S0031,P00788,W06,170,12440.56,2026-03-01,2026-03-01,0.0296,Received
PO000055,2026-06-08,S0026,P00724,W03,219,10703.17,2026-06-14,2026-06-15,0.0937,Received
PO000056,2025-02-07,S0094,P00875,W03,276,24513.83,2025-03-04,2025-03-04,0.0405,Received
PO000057,2026-01-20,S0107,P00248,W01,23,707.37,2026-02-06,2026-02-13,0.0241,Received
PO000058,2023-11-09,S0015,P00354,W03,398,20359.44,2023-11-15,2023-11-20,0.0104,Received
PO000059,2023-01-27,S0027,P00027,W03,220,14636.9,2023-02-21,2023-02-26,0.0116,Received
PO000060,2024-01-02,S0073,P00393,W06,393,25270.17,2024-01-23,2024-01-25,0.0512,Received
PO000061,2025-10-21,S0025,P00485,W03,79,4532.83,2025-11-01,2025-11-08,0.0099,Received
PO000062,2026-02-25,S0004,P00953,W05,331,5357.42,2026-03-11,2026-03-13,0.0262,Received
PO000063,2025-11-01,S0069,P00751,W01,381,5683.05,2025-11-23,2025-11-29,0.0235,Received
PO000064,2024-07-09,S0013,P00483,W01,456,17137.61,2024-08-04,2024-08-11,0.0307,Received
PO000065,2024-04-26,S0034,P00489,W06,155,8761.43,2024-05-18,2024-05-22,0.0348,Received
PO000066,2024-03-28,S0118,P00511,W06,121,6399.62,2024-04-04,2024-04-11,0.0367,Received
PO000067,2024-02-11,S0112,P00803,W06,412,23698.1,2024-03-01,2024-03-01,0.0234,Received
PO000068,2023-12-23,S0032,P00203,W01,340,3504.23,2024-01-09,2024-01-11,0.0123,Received
PO000069,2023-07-22,S0031,P00589,W04,424,7537.92,2023-08-16,2023-08-16,0.0093,Received
PO000070,2024-11-18,S0064,P00473,W04,174,6289.35,2024-12-04,2024-12-11,0.0429,Received
PO000071,2023-05-30,S0107,P00032,W04,54,2264.35,2023-06-18,2023-06-23,0.0074,Received
PO000072,2024-09-17,S0064,P00427,W01,303,4310.22,2024-10-03,2024-10-03,0.0431,Received
PO000073,2024-03-01,S0054,P00650,W02,382,49471.36,2024-03-06,2024-03-06,0.0335,Received
PO000074,2024-09-25,S0029,P00420,W02,456,45588.04,2024-10-20,2024-10-29,0.0179,Received
PO000075,2026-04-23,S0020,P00707,W06,305,6279.69,2026-04-28,2026-05-03,0.0248,Received
PO000076,2026-07-25,S0059,P00172,W02,117,5713.34,2026-08-09,2026-08-11,0.048,Received
PO000077,2024-04-06,S0079,P00167,W06,403,75709.28,2024-04-17,2024-04-17,0.0385,Received
PO000078,2025-11-04,S0094,P00265,W02,185,7475.11,2025-11-30,2025-11-30,0.0531,Received
PO000079,2025-04-11,S0117,P00905,W04,144,10296.6,2025-05-07,2025-05-07,0.0403,Received
PO000080,2023-01-12,S0071,P00883,W06,236,5944.85,2023-02-11,2023-02-11,0.0127,Received
PO000081,2026-04-16,S0033,P00363,W06,401,28913.59,2026-05-01,2026-05-06,0.0331,Received
PO000082,2025-10-29,S0048,P00267,W05,241,13873.03,2025-11-09,2025-11-09,0.0168,Received
PO000083,2025-11-19,S0104,P00107,W04,285,7538.01,2025-11-27,2025-11-30,0.0297,Received
PO000084,2026-08-08,S0107,P00261,W04,344,7589.0,2026-09-06,2026-09-08,0.0493,Open
PO000085,2023-04-13,S0054,P00097,W02,401,49269.88,2023-04-18,2023-04-20,0.0163,Received
