SalesOrderID,OrderDate,ProductID,WarehouseID,Quantity,Revenue,PromisedDeliveryDate,ActualDeliveryDate,OrderStatus,Channel
SO0000001,2023-08-23,P00235,W06,9,647.44,2023-08-30,2023-09-02,Delivered,B2B
SO0000002,2024-06-08,P00372,W02,6,618.9,2024-06-12,2024-06-12,Delivered,Retail
SO0000003,2024-12-28,P00358,W03,12,218.33,2025-01-03,2025-01-03,Delivered,Retail
SO0000004,2024-05-29,P00272,W06,11,3256.38,2024-06-05,2024-06-05,Delivered,Online
SO0000005,2026-03-09,P00725,W03,6,3935.82,2026-03-13,2026-03-13,Delivered,Distributor
SO0000006,2026-08-11,P00414,W06,4,1332.38,2026-08-19,2026-08-24,Delivered,Online
SO0000007,2025-12-08,P00294,W05,4,144.2,2025-12-10,2025-12-12,Delivered,Retail
SO0000008,2025-01-11,P00596,W06,7,478.97,2025-01-19,2025-01-19,Delivered,B2B
SO0000009,2023-04-30,P00817,W03,1,115.89,2023-05-02,2023-05-07,Delivered,Online
SO0000010,2024-11-21,P00970,W04,7,446.39,2024-11-26,2024-11-26,Delivered,Retail
SO0000011,2024-12-28,P00144,W06,6,128.83,2025-01-05,2025-01-12,Delivered,Online
SO0000012,2023-10-27,P00974,W02,6,840.54,2023-11-01,2023-11-04,Delivered,Online
SO0000013,2023-05-28,P00134,W04,7,117.47,2023-06-02,2023-06-03,Delivered,Distributor
SO0000014,2024-01-27,P00654,W03,5,361.09,2024-02-05,2024-02-08,Delivered,Distributor
SO0000015,2024-01-07,P00116,W04,9,1088.23,2024-01-11,2024-01-13,Delivered,Online
SO0000016,2023-11-06,P00710,W06,7,216.57,2023-11-10,2023-11-10,Delivered,Distributor
SO0000017,2025-04-08,P00973,W04,7,310.27,2025-04-17,2025-04-17,Delivered,Online
SO0000018,2023-08-21,P00064,W02,7,1012.6,2023-08-25,2023-08-28,Delivered,Online
SO0000019,2025-02-02,P00185,W04,9,2844.97,2025-02-05,2025-02-05,Delivered,Distributor
SO0000020,2023-03-28,P00757,W04,6,301.36,2023-04-02,2023-04-07,Delivered,Distributor
SO0000021,2026-07-07,P00616,W02,7,503.69,2026-07-10,2026-07-11,Delivered,Distributor
SO0000022,2024-04-11,P00167,W03,4,1116.5,2024-04-20,2024-04-23,Delivered,Online
SO0000023,2026-03-20,P00200,W04,8,291.31,2026-03-29,2026-04-05,Delivered,Online
SO0000024,2025-06-12,P00752,W04,5,792.29,2025-06-15,2025-06-16,Delivered,Distributor
SO0000025,2025-04-15,P00866,W02,5,180.96,2025-04-20,2025-04-20,Delivered,B2B
SO0000026,2024-09-12,P00784,W01,9,419.37,2024-09-18,2024-09-21,Delivered,Distributor
SO0000027,2024-09-17,P00996,W03,6,1224.13,2024-09-20,2024-09-20,Delivered,Retail
SO0000028,2023-03-08,P00213,W04,7,462.33,2023-03-15,2023-03-22,Delivered,B2B
SO0000029,2025-12-23,P00062,W05,6,394.05,2025-12-26,2025-12-26,Delivered,Distributor
SO0000030,2023-09-10,P00596,W05,6,379.33,2023-09-16,2023-09-21,Delivered,Online
SO0000031,2024-06-16,P00571,W04,7,403.71,2024-06-24,2024-06-24,Delivered,Distributor
SO0000032,2024-02-13,P00227,W01,1,17.34,2024-02-15,2024-02-18,Delivered,Online
SO0000033,2024-03-10,P00119,W06,4,298.6,2024-03-17,2024-03-24,Delivered,B2B
SO0000034,2024-08-27,P00892,W02,5,1597.27,2024-08-30,2024-08-30,Delivered,B2B
SO0000035,2024-07-18,P00563,W02,6,86.68,2024-07-26,2024-07-26,Delivered,Online
SO0000036,2026-05-26,P00258,W06,7,882.59,2026-06-03,2026-06-03,Delivered,Online
SO0000037,2025-03-26,P00759,W03,9,717.73,2025-03-30,2025-03-30,Delivered,Distributor
SO0000038,2024-07-15,P00969,W06,6,2143.81,2024-07-22,2024-07-27,Delivered,B2B
SO0000039,2023-07-07,P00725,W05,8,5037.81,2023-07-16,2023-07-21,Delivered,Distributor
SO0000040,2025-01-04,P00077,W05,7,122.05,2025-01-10,2025-01-15,Delivered,B2B
SO0000041,2026-02-20,P00772,W05,7,490.0,2026-02-28,2026-02-28,Delivered,Distributor
SO0000042,2024-10-31,P00716,W03,4,306.97,2024-11-06,2024-11-08,Delivered,Distributor
SO0000043,2026-03-28,P00889,W01,9,413.04,2026-04-03,2026-04-08,Delivered,Retail
SO0000044,2026-04-05,P00725,W03,8,4796.88,2026-04-09,2026-04-11,Delivered,B2B
SO0000045,2025-04-18,P00329,W04,5,837.15,2025-04-20,2025-04-23,Delivered,B2B
SO0000046,2025-06-20,P00055,W06,5,1417.58,2025-06-23,2025-06-23,Delivered,Distributor
SO0000047,2023-04-05,P00726,W03,5,175.6,2023-04-08,2023-04-15,Delivered,Retail
SO0000048,2023-07-19,P00418,W03,7,2371.42,2023-07-25,2023-07-30,Delivered,B2B
SO0000049,2025-12-17,P00416,W01,4,126.02,2025-12-20,2025-12-27,Delivered,Online
SO0000050,2024-08-16,P00747,W03,8,2221.28,2024-08-23,2024-08-24,Delivered,Online
SO0000051,2024-07-16,P00136,W04,7,416.08,2024-07-19,2024-07-19,Delivered,B2B
SO0000052,2024-01-14,P00061,W02,8,2047.77,2024-01-19,2024-01-20,Delivered,Distributor
SO0000053,2023-09-03,P00737,W06,5,294.94,2023-09-08,2023-09-15,Delivered,Distributor
