ShipmentID,SalesOrderID,WarehouseID,Carrier,ShipDate,DeliveryDate,FreightCost,DeliveryStatus
SH0000001,SO0000001,W06,UPS,2023-08-24,2023-09-02,530.02,Late
SH0000002,SO0000002,W02,Local Carrier,2024-06-09,2024-06-12,197.83,On Time
SH0000003,SO0000003,W03,UPS,2024-12-29,2025-01-03,1025.03,On Time
SH0000004,SO0000004,W06,FedEx,2024-05-30,2024-06-05,736.92,On Time
SH0000005,SO0000005,W03,Local Carrier,2026-03-10,2026-03-13,141.34,On Time
SH0000006,SO0000006,W06,Local Carrier,2026-08-12,2026-08-24,141.33,Late
SH0000007,SO0000007,W05,UPS,2025-12-09,2025-12-12,346.07,Late
SH0000008,SO0000008,W06,UPS,2025-01-12,2025-01-19,517.24,On Time
SH0000009,SO0000009,W03,Local Carrier,2023-05-01,2023-05-07,9.26,Late
SH0000010,SO0000010,W04,FedEx,2024-11-22,2024-11-26,475.98,On Time
SH0000011,SO0000011,W06,Local Carrier,2024-12-29,2025-01-12,307.55,Late
SH0000012,SO0000012,W02,Local Carrier,2023-10-28,2023-11-04,133.09,Late
SH0000013,SO0000013,W04,DHL,2023-05-29,2023-06-03,345.12,Late
SH0000014,SO0000014,W03,FedEx,2024-01-28,2024-02-08,178.08,Late
SH0000015,SO0000015,W04,DHL,2024-01-08,2024-01-13,261.47,Late
SH0000016,SO0000016,W06,DHL,2023-11-07,2023-11-10,301.37,On Time
SH0000017,SO0000017,W04,Local Carrier,2025-04-09,2025-04-17,301.4,On Time
SH0000018,SO0000018,W02,DHL,2023-08-22,2023-08-28,542.03,Late
SH0000019,SO0000019,W04,UPS,2025-02-03,2025-02-05,269.27,On Time
SH0000020,SO0000020,W04,DHL,2023-03-29,2023-04-07,142.17,Late
SH0000021,SO0000021,W02,UPS,2026-07-08,2026-07-11,428.68,Late
SH0000022,SO0000022,W03,UPS,2024-04-12,2024-04-23,330.61,Late
SH0000023,SO0000023,W04,Local Carrier,2026-03-21,2026-04-05,319.51,Late
SH0000024,SO0000024,W04,FedEx,2025-06-13,2025-06-16,245.6,Late
SH0000025,SO0000025,W02,DHL,2025-04-16,2025-04-20,260.36,On Time
SH0000026,SO0000026,W01,FedEx,2024-09-13,2024-09-21,491.05,Late
SH0000027,SO0000027,W03,DHL,2024-09-18,2024-09-20,398.75,On Time
SH0000028,SO0000028,W04,FedEx,2023-03-09,2023-03-22,474.14,Late
SH0000029,SO0000029,W05,Local Carrier,2025-12-24,2025-12-26,194.65,On Time
SH0000030,SO0000030,W05,UPS,2023-09-11,2023-09-21,297.89,Late
SH0000031,SO0000031,W04,Local Carrier,2024-06-17,2024-06-24,343.15,On Time
SH0000032,SO0000032,W01,FedEx,2024-02-14,2024-02-18,38.98,Late
SH0000033,SO0000033,W06,UPS,2024-03-11,2024-03-24,33.77,Late
SH0000034,SO0000034,W02,DHL,2024-08-28,2024-08-30,358.22,On Time
SH0000035,SO0000035,W02,Local Carrier,2024-07-19,2024-07-26,552.38,On Time
SH0000036,SO0000036,W06,UPS,2026-05-27,2026-06-03,648.86,On Time
SH0000037,SO0000037,W03,DHL,2025-03-27,2025-03-30,732.88,On Time
SH0000038,SO0000038,W06,FedEx,2024-07-16,2024-07-27,564.14,Late
SH0000039,SO0000039,W05,Local Carrier,2023-07-08,2023-07-21,706.9,Late
SH0000040,SO0000040,W05,UPS,2025-01-05,2025-01-15,123.45,Late
SH0000041,SO0000041,W05,DHL,2026-02-21,2026-02-28,356.07,On Time
SH0000042,SO0000042,W03,UPS,2024-11-01,2024-11-08,38.88,Late
SH0000043,SO0000043,W01,DHL,2026-03-29,2026-04-08,387.06,Late
SH0000044,SO0000044,W03,Local Carrier,2026-04-06,2026-04-11,184.91,Late
SH0000045,SO0000045,W04,Local Carrier,2025-04-19,2025-04-23,108.25,Late
SH0000046,SO0000046,W06,UPS,2025-06-21,2025-06-23,227.93,On Time
SH0000047,SO0000047,W03,FedEx,2023-04-06,2023-04-15,133.31,Late
SH0000048,SO0000048,W03,Local Carrier,2023-07-20,2023-07-30,573.67,Late
SH0000049,SO0000049,W01,Local Carrier,2025-12-18,2025-12-27,187.27,Late
SH0000050,SO0000050,W03,FedEx,2024-08-17,2024-08-24,588.71,Late
SH0000051,SO0000051,W04,DHL,2024-07-17,2024-07-19,90.43,On Time
SH0000052,SO0000052,W02,FedEx,2024-01-15,2024-01-20,74.77,Late
SH0000053,SO0000053,W06,Local Carrier,2023-09-04,2023-09-15,303.31,Late
SH0000054,SO0000054,W02,UPS,2025-04-07,2025-04-16,342.34,Late
SH0000055,SO0000055,W06,DHL,2024-01-08,2024-01-14,113.47,Late
SH0000056,SO0000056,W03,UPS,2023-02-18,2023-02-21,83.93,On Time
SH0000057,SO0000057,W04,UPS,2024-07-14,2024-07-18,240.62,On Time
SH0000058,SO0000058,W03,FedEx,2026-05-21,2026-05-29,387.84,On Time
SH0000059,SO0000059,W04,Local Carrier,2023-07-07,2023-07-14,936.11,Late
SH0000060,SO0000060,W06,FedEx,2026-04-22,2026-04-30,454.78,On Time
SH0000061,SO0000061,W02,Local Carrier,2026-04-30,2026-05-06,89.81,Late
SH0000062,SO0000062,W06,Local Carrier,2024-11-17,2024-11-25,90.23,On Time
SH0000063,SO0000063,W06,Local Carrier,2023-10-13,2023-10-19,467.77,On Time
SH0000064,SO0000064,W03,FedEx,2024-03-29,2024-04-06,632.49,Late
SH0000065,SO0000065,W02,Local Carrier,2023-08-24,2023-08-31,60.84,Late
SH0000066,SO0000066,W04,DHL,2023-10-19,2023-10-26,614.34,On Time
SH0000067,SO0000067,W01,DHL,2024-01-23,2024-02-01,222.53,Late
SH0000068,SO0000068,W05,Local Carrier,2026-02-08,2026-02-13,198.28,On Time
SH0000069,SO0000069,W02,FedEx,2026-01-26,2026-02-05,363.27,Late
SH0000070,SO0000070,W05,DHL,2024-04-08,2024-04-09,411.76,On Time
SH0000071,SO0000071,W04,FedEx,2024-04-17,2024-04-26,465.86,Late
SH0000072,SO0000072,W02,FedEx,2026-01-08,2026-01-13,165.62,Late
SH0000073,SO0000073,W01,UPS,2023-09-22,2023-09-30,454.07,Late
SH0000074,SO0000074,W05,UPS,2024-08-23,2024-09-02,179.91,Late
SH0000075,SO0000075,W03,UPS,2026-06-09,2026-06-12,327.03,On Time
SH0000076,SO0000076,W01,UPS,2025-09-23,2025-09-30,572.77,Late
SH0000077,SO0000077,W02,Local Carrier,2024-07-01,2024-07-05,523.62,On Time
SH0000078,SO0000078,W04,DHL,2024-11-15,2024-11-20,463.3,On Time
SH0000079,SO0000079,W04,UPS,2023-11-22,2023-11-25,307.52,On Time
SH0000080,SO0000080,W06,Local Carrier,2025-11-04,2025-11-06,232.75,Late
SH0000081,SO0000081,W06,FedEx,2024-10-21,2024-10-25,154.05,On Time
SH0000082,SO0000082,W01,UPS,2023-07-17,2023-07-25,119.51,Late
SH0000083,SO0000083,W02,FedEx,2025-09-05,2025-09-18,719.64,Late
