CustomerID,CustomerName,SignupDate,Industry,Country,Segment
CU000001,Account 000001,2022-12-30,Finance,Australia,Enterprise
CU000002,Account 000002,2026-01-30,Education,Singapore,SMB
CU000003,Account 000003,2026-06-06,Healthcare,Australia,SMB
CU000004,Account 000004,2024-11-02,Professional Services,Singapore,SMB
CU000005,Account 000005,2025-12-12,Healthcare,Canada,Enterprise
CU000006,Account 000006,2022-12-27,Education,United States,Mid-Market
CU000007,Account 000007,2022-01-24,Education,Singapore,SMB
CU000008,Account 000008,2024-05-14,Retail,Germany,Enterprise
CU000009,Account 000009,2023-12-16,Professional Services,Singapore,Mid-Market
CU000010,Account 000010,2025-08-06,Healthcare,Germany,Mid-Market
CU000011,Account 000011,2024-08-14,Healthcare,United States,SMB
CU000012,Account 000012,2023-01-06,Education,Canada,SMB
CU000013,Account 000013,2023-05-07,Healthcare,United States,SMB
CU000014,Account 000014,2023-10-15,Healthcare,Canada,Enterprise
CU000015,Account 000015,2022-06-23,Healthcare,United Kingdom,Enterprise
CU000016,Account 000016,2024-10-30,Retail,Australia,Enterprise
CU000017,Account 000017,2026-03-08,Finance,United Kingdom,Mid-Market
CU000018,Account 000018,2025-04-05,Finance,United States,SMB
CU000019,Account 000019,2025-10-03,Manufacturing,United States,Enterprise
CU000020,Account 000020,2024-08-29,Retail,United States,Enterprise
CU000021,Account 000021,2023-12-28,Education,Germany,Mid-Market
CU000022,Account 000022,2022-02-05,Education,United Kingdom,Mid-Market
CU000023,Account 000023,2022-02-22,Education,Singapore,SMB
CU000024,Account 000024,2023-12-15,Finance,United Kingdom,Enterprise
CU000025,Account 000025,2025-01-11,Professional Services,Singapore,SMB
CU000026,Account 000026,2022-08-10,Retail,Germany,Mid-Market
CU000027,Account 000027,2024-01-20,Healthcare,United Kingdom,Enterprise
CU000028,Account 000028,2024-02-06,Finance,Germany,Mid-Market
CU000029,Account 000029,2024-12-04,Finance,Germany,SMB
CU000030,Account 000030,2024-11-07,Finance,Australia,Mid-Market
CU000031,Account 000031,2023-01-30,Manufacturing,United Kingdom,SMB
CU000032,Account 000032,2023-06-06,Finance,Australia,SMB
CU000033,Account 000033,2024-02-19,Professional Services,United States,SMB
CU000034,Account 000034,2022-10-21,Education,Germany,Enterprise
CU000035,Account 000035,2024-11-18,Finance,Germany,Enterprise
CU000036,Account 000036,2025-04-01,Retail,United Kingdom,SMB
CU000037,Account 000037,2022-12-12,Retail,United Kingdom,Mid-Market
CU000038,Account 000038,2026-03-16,Education,Australia,Enterprise
CU000039,Account 000039,2025-07-11,Healthcare,Canada,SMB
CU000040,Account 000040,2022-11-17,Software,United States,Enterprise
CU000041,Account 000041,2025-10-20,Education,Canada,Mid-Market
CU000042,Account 000042,2025-02-23,Manufacturing,Australia,Mid-Market
CU000043,Account 000043,2025-08-11,Healthcare,United States,Mid-Market
CU000044,Account 000044,2024-01-02,Education,Germany,SMB
CU000045,Account 000045,2024-07-04,Software,Germany,SMB
CU000046,Account 000046,2023-02-12,Education,Australia,SMB
CU000047,Account 000047,2023-05-01,Retail,Singapore,Enterprise
CU000048,Account 000048,2025-02-03,Finance,Australia,Mid-Market
CU000049,Account 000049,2024-02-12,Manufacturing,United States,Enterprise
CU000050,Account 000050,2025-02-19,Manufacturing,United States,SMB
CU000051,Account 000051,2022-02-22,Education,Australia,Mid-Market
CU000052,Account 000052,2024-06-01,Finance,United States,SMB
CU000053,Account 000053,2024-10-14,Healthcare,United States,Mid-Market
CU000054,Account 000054,2023-08-20,Retail,Canada,SMB
CU000055,Account 000055,2022-06-07,Education,Germany,Enterprise
CU000056,Account 000056,2024-11-28,Software,Singapore,Mid-Market
CU000057,Account 000057,2022-12-10,Healthcare,United States,Mid-Market
CU000058,Account 000058,2026-04-05,Education,Germany,SMB
CU000059,Account 000059,2022-04-01,Professional Services,Germany,SMB
CU000060,Account 000060,2025-09-30,Professional Services,Canada,Mid-Market
CU000061,Account 000061,2024-12-17,Education,United States,SMB
CU000062,Account 000062,2024-02-02,Healthcare,Canada,Enterprise
CU000063,Account 000063,2025-09-01,Manufacturing,Canada,Mid-Market
CU000064,Account 000064,2024-10-16,Finance,Australia,Enterprise
CU000065,Account 000065,2023-08-31,Software,Germany,SMB
CU000066,Account 000066,2024-04-15,Retail,United Kingdom,SMB
CU000067,Account 000067,2023-08-30,Retail,Canada,SMB
CU000068,Account 000068,2023-05-28,Education,United Kingdom,Enterprise
CU000069,Account 000069,2024-09-26,Healthcare,Canada,Mid-Market
CU000070,Account 000070,2022-04-22,Manufacturing,Australia,Enterprise
CU000071,Account 000071,2022-11-23,Professional Services,Singapore,SMB
CU000072,Account 000072,2024-05-09,Software,United States,SMB
CU000073,Account 000073,2023-03-31,Healthcare,Germany,Enterprise
CU000074,Account 000074,2024-05-21,Healthcare,Germany,Mid-Market
CU000075,Account 000075,2026-05-11,Finance,Germany,Mid-Market
CU000076,Account 000076,2023-05-30,Finance,Singapore,Mid-Market
CU000077,Account 000077,2024-11-25,Software,Germany,Enterprise
CU000078,Account 000078,2022-08-03,Software,Canada,Mid-Market
CU000079,Account 000079,2024-02-10,Education,Singapore,Enterprise
CU000080,Account 000080,2024-03-12,Finance,Canada,Mid-Market
CU000081,Account 000081,2026-06-04,Manufacturing,United Kingdom,SMB
CU000082,Account 000082,2023-06-02,Education,Australia,Enterprise
CU000083,Account 000083,2023-07-28,Finance,Germany,SMB
CU000084,Account 000084,2024-05-17,Education,Germany,Mid-Market
CU000085,Account 000085,2022-02-25,Manufacturing,Singapore,SMB
CU000086,Account 000086,2022-12-17,Retail,Australia,Mid-Market
CU000087,Account 000087,2022-06-01,Manufacturing,Germany,Mid-Market
CU000088,Account 000088,2024-04-17,Professional Services,Canada,SMB
CU000089,Account 000089,2025-11-17,Manufacturing,United Kingdom,SMB
CU000090,Account 000090,2025-04-26,Software,United States,Mid-Market
CU000091,Account 000091,2023-09-26,Education,Germany,Enterprise
CU000092,Account 000092,2026-06-18,Finance,United States,SMB
CU000093,Account 000093,2026-03-13,Professional Services,Canada,Mid-Market
CU000094,Account 000094,2022-02-23,Software,United States,Mid-Market
CU000095,Account 000095,2026-01-14,Professional Services,United Kingdom,Mid-Market
CU000096,Account 000096,2023-03-29,Finance,United States,SMB
CU000097,Account 000097,2024-08-02,Finance,Singapore,Enterprise
CU000098,Account 000098,2022-03-29,Retail,Singapore,Mid-Market
CU000099,Account 000099,2023-05-09,Manufacturing,Singapore,SMB
CU000100,Account 000100,2026-04-12,Software,United States,SMB
CU000101,Account 000101,2024-06-21,Education,Australia,SMB
CU000102,Account 000102,2024-02-22,Software,Canada,Mid-Market
CU000103,Account 000103,2023-08-10,Finance,Singapore,Enterprise
CU000104,Account 000104,2022-01-24,Manufacturing,Singapore,Enterprise
CU000105,Account 000105,2024-11-10,Software,Singapore,SMB
CU000106,Account 000106,2025-02-26,Education,Canada,Mid-Market
CU000107,Account 000107,2025-09-28,Retail,Singapore,Mid-Market
CU000108,Account 000108,2023-08-17,Professional Services,Singapore,Mid-Market
CU000109,Account 000109,2026-01-30,Retail,United Kingdom,SMB
CU000110,Account 000110,2022-01-09,Healthcare,Australia,Mid-Market
CU000111,Account 000111,2022-11-28,Retail,United Kingdom,Enterprise
CU000112,Account 000112,2026-05-21,Professional Services,Germany,Enterprise
CU000113,Account 000113,2024-03-22,Healthcare,Singapore,Enterprise
CU000114,Account 000114,2025-11-30,Professional Services,Australia,Enterprise
CU000115,Account 000115,2025-09-21,Software,United Kingdom,Enterprise
CU000116,Account 000116,2025-03-28,Finance,Singapore,SMB
CU000117,Account 000117,2026-04-02,Retail,Germany,Mid-Market
CU000118,Account 000118,2024-08-02,Manufacturing,United Kingdom,SMB
CU000119,Account 000119,2024-09-30,Software,Germany,Mid-Market
CU000120,Account 000120,2024-11-12,Professional Services,Germany,Enterprise
CU000121,Account 000121,2023-03-17,Education,Australia,SMB
CU000122,Account 000122,2023-01-15,Healthcare,United Kingdom,Enterprise
CU000123,Account 000123,2024-01-23,Retail,Germany,Enterprise
CU000124,Account 000124,2024-05-17,Retail,United Kingdom,Enterprise
CU000125,Account 000125,2025-11-28,Manufacturing,Australia,Enterprise
CU000126,Account 000126,2023-08-04,Retail,Australia,Mid-Market
