CustomerID,AcquisitionSource,AcquisitionCost,AttributionType
CU000001,Partner,4596.55,Multi-Touch
CU000002,LinkedIn Ads,515.6,Multi-Touch
CU000003,Referral,132.13,First Touch
CU000004,Event,133.08,Multi-Touch
CU000005,Google Ads,4466.28,Multi-Touch
CU000006,Outbound,1588.75,Multi-Touch
CU000007,LinkedIn Ads,353.1,Last Touch
CU000008,Organic Search,4448.45,First Touch
CU000009,Referral,1666.15,Multi-Touch
CU000010,Referral,811.1,Multi-Touch
CU000011,LinkedIn Ads,208.55,Multi-Touch
CU000012,Google Ads,237.98,Last Touch
CU000013,Outbound,185.51,Multi-Touch
CU000014,LinkedIn Ads,4714.6,First Touch
CU000015,LinkedIn Ads,4255.77,Last Touch
CU000016,Organic Search,4647.12,Last Touch
CU000017,Outbound,1261.22,Last Touch
CU000018,Google Ads,463.86,First Touch
CU000019,Outbound,4820.27,Multi-Touch
CU000020,Event,4364.02,First Touch
CU000021,LinkedIn Ads,1202.21,Last Touch
CU000022,Google Ads,1382.93,Last Touch
CU000023,Outbound,203.82,Last Touch
CU000024,Referral,4250.41,Multi-Touch
CU000025,Outbound,641.57,Last Touch
CU000026,Outbound,1137.61,Last Touch
CU000027,Google Ads,4456.47,Multi-Touch
CU000028,Google Ads,1256.63,Multi-Touch
CU000029,Google Ads,618.4,Last Touch
CU000030,Partner,1398.33,Last Touch
CU000031,Outbound,624.35,First Touch
CU000032,Partner,392.54,Last Touch
CU000033,Event,51.38,Last Touch
CU000034,Event,4447.94,Last Touch
CU000035,LinkedIn Ads,4306.23,Multi-Touch
CU000036,Google Ads,421.31,Last Touch
CU000037,Outbound,956.78,First Touch
CU000038,LinkedIn Ads,4754.83,Last Touch
CU000039,Google Ads,886.55,Last Touch
CU000040,LinkedIn Ads,4449.11,Multi-Touch
CU000041,Organic Search,958.71,Multi-Touch
CU000042,Organic Search,1181.03,First Touch
CU000043,Outbound,1036.81,Last Touch
CU000044,Referral,232.53,First Touch
CU000045,Referral,779.42,First Touch
CU000046,LinkedIn Ads,153.12,First Touch
CU000047,Referral,4754.69,Multi-Touch
CU000048,Event,961.33,Multi-Touch
CU000049,LinkedIn Ads,4686.05,Last Touch
CU000050,Referral,412.5,First Touch
CU000051,Organic Search,1295.45,Last Touch
CU000052,Referral,244.76,Last Touch
CU000053,Partner,1279.91,First Touch
CU000054,Organic Search,49.26,Multi-Touch
CU000055,Google Ads,4633.73,First Touch
CU000056,Partner,1284.04,Multi-Touch
CU000057,Referral,939.24,Multi-Touch
CU000058,Outbound,434.7,First Touch
CU000059,LinkedIn Ads,398.62,Multi-Touch
CU000060,Partner,1051.9,Multi-Touch
CU000061,Event,413.04,First Touch
CU000062,Referral,4522.99,Multi-Touch
CU000063,Organic Search,1302.77,First Touch
CU000064,Google Ads,4433.95,Multi-Touch
CU000065,Organic Search,266.78,Multi-Touch
CU000066,Referral,683.53,Multi-Touch
CU000067,Event,217.99,Multi-Touch
CU000068,Outbound,4699.82,Multi-Touch
CU000069,Referral,965.71,Multi-Touch
CU000070,Partner,4477.12,Multi-Touch
CU000071,Google Ads,596.46,Multi-Touch
CU000072,Outbound,498.79,Last Touch
CU000073,Organic Search,4704.6,First Touch
CU000074,Google Ads,1265.74,Last Touch
CU000075,Outbound,1352.18,Last Touch
CU000076,Partner,1052.58,Multi-Touch
CU000077,Google Ads,4475.93,First Touch
CU000078,Partner,1443.48,First Touch
CU000079,Google Ads,4840.89,First Touch
CU000080,Organic Search,1233.76,Last Touch
CU000081,Organic Search,394.26,First Touch
CU000082,Partner,4520.65,First Touch
CU000083,Referral,652.38,Last Touch
CU000084,Google Ads,1218.29,First Touch
CU000085,Referral,381.56,Last Touch
CU000086,LinkedIn Ads,1157.95,First Touch
CU000087,Outbound,1442.06,Last Touch
CU000088,Google Ads,327.13,Multi-Touch
CU000089,Event,414.15,Last Touch
CU000090,LinkedIn Ads,1475.66,First Touch
CU000091,Partner,4956.27,Multi-Touch
CU000092,LinkedIn Ads,495.72,Last Touch
CU000093,Referral,1082.59,Multi-Touch
CU000094,Organic Search,961.99,Multi-Touch
CU000095,Outbound,1220.34,Multi-Touch
CU000096,Referral,414.69,Last Touch
CU000097,Event,4528.72,Last Touch
CU000098,LinkedIn Ads,1250.62,First Touch
CU000099,Partner,542.9,First Touch
CU000100,Referral,143.71,Last Touch
CU000101,Referral,260.79,Multi-Touch
CU000102,Referral,1149.37,Multi-Touch
CU000103,Organic Search,4656.75,Last Touch
CU000104,Outbound,4203.11,First Touch
CU000105,Outbound,175.33,Last Touch
CU000106,Event,1284.44,Multi-Touch
CU000107,Outbound,822.64,Last Touch
CU000108,Event,1056.44,Multi-Touch
CU000109,Event,21.47,Last Touch
CU000110,Partner,1173.94,Multi-Touch
CU000111,Referral,5089.28,First Touch
CU000112,Google Ads,4653.24,Multi-Touch
CU000113,LinkedIn Ads,4365.89,Multi-Touch
CU000114,Event,4336.87,Last Touch
CU000115,Organic Search,4454.34,Last Touch
CU000116,Outbound,376.13,Last Touch
CU000117,Referral,1455.79,Last Touch
CU000118,LinkedIn Ads,143.07,Multi-Touch
CU000119,Organic Search,713.64,Last Touch
CU000120,Outbound,4424.07,First Touch
CU000121,LinkedIn Ads,400.04,Multi-Touch
CU000122,Partner,4635.73,Multi-Touch
