InvoiceID,SubscriptionID,CustomerID,InvoiceDate,InvoiceAmount,PaymentDate,PaymentStatus
INV0000001,SUB000001,CU000001,2022-12-01,4424.28,2022-12-03,Paid
INV0000002,SUB000001,CU000001,2023-12-01,4424.28,2023-12-01,Paid
INV0000003,SUB000001,CU000001,2024-12-01,4424.28,2024-12-04,Paid
INV0000004,SUB000001,CU000001,2025-12-01,4424.28,2025-12-07,Paid
INV0000005,SUB000002,CU000002,2026-01-01,632.16,2026-01-07,Paid
INV0000006,SUB000003,CU000003,2026-06-01,368.8,,Failed
INV0000007,SUB000003,CU000003,2026-07-01,368.8,2026-07-01,Paid
INV0000008,SUB000003,CU000003,2026-08-01,368.8,2026-08-11,Paid
INV0000009,SUB000004,CU000004,2024-11-01,176.07,2024-11-06,Paid
INV0000010,SUB000004,CU000004,2024-12-01,176.07,2024-12-01,Paid
INV0000011,SUB000004,CU000004,2025-01-01,176.07,2025-01-01,Paid
INV0000012,SUB000004,CU000004,2025-02-01,176.07,2025-02-05,Paid
INV0000013,SUB000004,CU000004,2025-03-01,176.07,2025-03-03,Paid
INV0000014,SUB000004,CU000004,2025-04-01,176.07,2025-04-05,Paid
INV0000015,SUB000004,CU000004,2025-05-01,176.07,,Failed
INV0000016,SUB000005,CU000005,2025-12-01,43.6,2025-12-12,Paid
INV0000017,SUB000005,CU000005,2026-01-01,43.6,2026-01-01,Paid
INV0000018,SUB000005,CU000005,2026-02-01,43.6,2026-02-03,Paid
INV0000019,SUB000005,CU000005,2026-03-01,43.6,2026-03-01,Paid
INV0000020,SUB000005,CU000005,2026-04-01,43.6,2026-04-17,Paid
INV0000021,SUB000005,CU000005,2026-05-01,43.6,2026-05-01,Paid
INV0000022,SUB000005,CU000005,2026-06-01,43.6,2026-06-06,Paid
INV0000023,SUB000005,CU000005,2026-07-01,43.6,2026-07-09,Paid
INV0000024,SUB000005,CU000005,2026-08-01,43.6,2026-08-01,Paid
INV0000025,SUB000006,CU000006,2022-12-01,150.22,2022-12-17,Paid
INV0000026,SUB000006,CU000006,2023-01-01,150.22,2023-01-01,Paid
INV0000027,SUB000006,CU000006,2023-02-01,150.22,2023-02-02,Paid
INV0000028,SUB000006,CU000006,2023-03-01,150.22,2023-03-01,Paid
INV0000029,SUB000006,CU000006,2023-04-01,150.22,2023-04-05,Paid
INV0000030,SUB000006,CU000006,2023-05-01,150.22,2023-05-11,Paid
INV0000031,SUB000006,CU000006,2023-06-01,150.22,2023-06-01,Paid
INV0000032,SUB000006,CU000006,2023-07-01,150.22,2023-07-01,Paid
INV0000033,SUB000006,CU000006,2023-08-01,150.22,2023-08-04,Paid
INV0000034,SUB000006,CU000006,2023-09-01,150.22,2023-09-01,Paid
INV0000035,SUB000006,CU000006,2023-10-01,150.22,2023-10-06,Paid
INV0000036,SUB000006,CU000006,2023-11-01,150.22,2023-11-01,Paid
INV0000037,SUB000006,CU000006,2023-12-01,150.22,2023-12-06,Paid
INV0000038,SUB000006,CU000006,2024-01-01,150.22,2024-01-01,Paid
INV0000039,SUB000006,CU000006,2024-02-01,150.22,,Failed
INV0000040,SUB000006,CU000006,2024-03-01,150.22,2024-03-06,Paid
INV0000041,SUB000006,CU000006,2024-04-01,150.22,2024-04-01,Paid
INV0000042,SUB000006,CU000006,2024-05-01,150.22,2024-05-10,Paid
INV0000043,SUB000006,CU000006,2024-06-01,150.22,2024-06-07,Paid
INV0000044,SUB000006,CU000006,2024-07-01,150.22,2024-07-02,Paid
INV0000045,SUB000006,CU000006,2024-08-01,150.22,2024-08-12,Paid
INV0000046,SUB000006,CU000006,2024-09-01,150.22,2024-09-01,Paid
INV0000047,SUB000006,CU000006,2024-10-01,150.22,2024-10-01,Paid
INV0000048,SUB000006,CU000006,2024-11-01,150.22,2024-11-16,Paid
INV0000049,SUB000006,CU000006,2024-12-01,150.22,2024-12-01,Paid
INV0000050,SUB000006,CU000006,2025-01-01,150.22,2025-01-01,Paid
INV0000051,SUB000006,CU000006,2025-02-01,150.22,2025-02-11,Paid
