Month,CustomerID,LicensedSeats,ActiveUsers,Logins,FeatureAdoptionRate,CriticalErrors
2023-02-01,CU000001,78,36,1000,0.3747,1
2023-03-01,CU000001,46,46,536,0.6356,0
2023-06-01,CU000001,62,33,848,0.8737,1
2023-08-01,CU000001,2,1,29,0.6742,3
2023-12-01,CU000001,7,2,90,0.146,1
2024-02-01,CU000001,92,50,1085,0.7235,1
2024-03-01,CU000001,32,19,441,0.7501,0
2024-06-01,CU000001,28,20,247,0.426,4
2024-10-01,CU000001,54,22,605,0.4532,0
2024-11-01,CU000001,108,76,885,0.6972,2
2025-05-01,CU000001,5,4,64,0.8215,1
2025-09-01,CU000001,18,13,162,0.3422,0
2026-01-01,CU000001,56,41,163,0.4389,0
2026-02-01,CU000001,108,101,1550,0.3203,4
2026-04-01,CU000001,114,99,695,0.762,3
2026-06-01,CU000001,75,69,1029,0.7146,3
2026-05-01,CU000002,58,39,856,0.849,0
2025-05-01,CU000004,92,77,1493,0.3806,4
2025-09-01,CU000004,69,68,976,0.6492,0
2026-04-01,CU000004,6,5,76,0.3012,1
2026-08-01,CU000004,29,14,271,0.8832,1
2026-03-01,CU000005,55,35,399,0.4985,2
2026-05-01,CU000005,66,47,1169,0.283,3
2023-01-01,CU000006,30,19,391,0.3736,2
2023-03-01,CU000006,14,8,71,0.8887,3
2023-04-01,CU000006,5,1,32,0.4387,4
2023-12-01,CU000006,20,13,243,0.867,1
2024-05-01,CU000006,33,15,440,0.9309,0
2024-07-01,CU000006,61,35,1075,0.8363,1
2024-09-01,CU000006,6,4,105,0.6121,2
2024-10-01,CU000006,68,48,726,0.2758,0
2025-01-01,CU000006,68,34,664,0.8123,3
2025-02-01,CU000006,107,69,2127,0.8085,1
2025-08-01,CU000006,45,30,502,0.7081,0
2025-09-01,CU000006,111,96,957,0.8452,3
2025-11-01,CU000006,108,64,1629,0.9531,0
2025-12-01,CU000006,38,25,447,0.8573,4
2026-02-01,CU000006,17,7,257,0.645,1
2026-03-01,CU000006,100,100,1146,0.4439,3
2026-06-01,CU000006,66,42,493,0.3185,0
2022-03-01,CU000007,39,17,590,0.6198,2
2022-08-01,CU000007,19,10,311,0.6139,1
2022-09-01,CU000007,93,53,1022,0.8028,0
2022-11-01,CU000007,63,54,447,0.6068,3
2023-01-01,CU000007,71,37,1004,0.3385,4
2023-02-01,CU000007,60,41,608,0.5432,0
2023-03-01,CU000007,48,35,469,0.4784,3
2023-04-01,CU000007,14,11,224,0.6394,4
2023-06-01,CU000007,26,18,375,0.64,3
2023-07-01,CU000007,106,77,1000,0.5784,2
2023-09-01,CU000007,59,52,680,0.7304,3
2023-11-01,CU000007,50,27,828,0.3388,3
2024-01-01,CU000007,57,48,749,0.8278,3
2024-02-01,CU000007,39,28,732,0.3777,7
2024-04-01,CU000007,76,51,725,0.8057,6
2024-07-01,CU000007,44,29,547,0.2357,4
2024-12-01,CU000007,84,48,713,0.7187,4
2025-03-01,CU000007,58,36,691,0.635,5
2025-09-01,CU000007,8,5,97,0.2599,1
2026-01-01,CU000007,29,25,185,0.8439,4
2026-04-01,CU000007,19,14,152,0.4765,2
2024-05-01,CU000008,37,37,537,0.7655,6
2024-06-01,CU000008,38,27,393,0.5284,1
2024-08-01,CU000008,68,42,325,0.7791,1
2024-10-01,CU000008,30,23,221,0.8263,3
2024-11-01,CU000008,55,45,316,0.7161,2
2025-04-01,CU000008,7,3,78,0.4901,5
2025-07-01,CU000008,62,53,636,0.607,2
2025-10-01,CU000008,51,28,572,0.547,1
2025-12-01,CU000008,17,15,165,0.7822,2
2026-06-01,CU000008,70,50,424,0.69,1
2023-12-01,CU000009,38,30,863,0.4482,0
2024-04-01,CU000009,62,62,1337,0.2176,3
2024-10-01,CU000009,63,27,1065,0.7506,1
2025-04-01,CU000009,98,56,2040,0.8976,2
2025-05-01,CU000009,106,35,1265,0.7394,0
2025-06-01,CU000009,62,55,845,0.366,5
2025-07-01,CU000009,107,68,1245,0.6166,4
2025-09-01,CU000009,109,80,487,0.7644,4
2025-10-01,CU000009,31,17,401,0.8233,0
2025-12-01,CU000009,28,16,470,0.8789,3
2026-02-01,CU000009,20,12,108,0.6258,4
2025-08-01,CU000010,54,41,578,0.288,5
2025-09-01,CU000010,111,88,851,0.8568,0
2025-10-01,CU000010,55,55,910,0.3765,0
2026-02-01,CU000010,116,92,1580,0.3467,4
2026-05-01,CU000010,5,3,47,0.5052,1
2024-10-01,CU000011,35,20,411,0.8338,4
2024-11-01,CU000011,85,85,385,0.6453,1
2025-04-01,CU000011,114,63,1151,0.705,2
2025-07-01,CU000011,13,9,115,0.466,3
2025-08-01,CU000011,68,43,552,0.8533,2
