SubscriptionID,CustomerID,PlanID,StartDate,EndDate,Status,MRR,BillingCycle
SUB000001,CU000001,PL03,2022-12-30,,Active,368.69,Annual
SUB000002,CU000002,PL01,2026-01-30,,Active,52.68,Annual
SUB000003,CU000003,PL03,2026-06-06,,Active,368.8,Monthly
SUB000004,CU000004,PL02,2024-11-02,2025-05-12,Churned,176.07,Monthly
SUB000005,CU000005,PL01,2025-12-12,,Active,43.6,Monthly
SUB000006,CU000006,PL02,2022-12-27,,Active,150.22,Monthly
SUB000007,CU000007,PL04,2022-01-24,,Active,1271.86,Annual
SUB000008,CU000008,PL02,2024-05-14,,Active,164.67,Monthly
SUB000009,CU000009,PL03,2023-12-16,,Active,433.13,Monthly
SUB000010,CU000010,PL01,2025-08-06,2026-02-05,Churned,55.8,Monthly
SUB000011,CU000011,PL04,2024-08-14,,Active,1436.5,Monthly
SUB000012,CU000012,PL02,2023-01-06,,Active,182.32,Monthly
SUB000013,CU000013,PL03,2023-05-07,,Active,428.62,Monthly
SUB000014,CU000014,PL02,2023-10-15,,Active,183.69,Annual
SUB000015,CU000015,PL02,2022-06-23,2024-03-31,Churned,186.02,Annual
SUB000016,CU000016,PL01,2024-10-30,,Active,41.77,Monthly
SUB000017,CU000017,PL01,2026-03-08,,Active,51.57,Annual
SUB000018,CU000018,PL02,2025-04-05,,Active,142.46,Monthly
SUB000019,CU000019,PL01,2025-10-03,,Active,41.84,Monthly
SUB000020,CU000020,PL03,2024-08-29,,Active,377.3,Monthly
SUB000021,CU000021,PL03,2023-12-28,2026-05-01,Churned,471.93,Monthly
SUB000022,CU000022,PL03,2022-02-05,,Active,471.84,Annual
SUB000023,CU000023,PL03,2022-02-22,2024-06-04,Churned,456.11,Annual
SUB000024,CU000024,PL03,2023-12-15,,Active,367.81,Annual
SUB000025,CU000025,PL03,2025-01-11,2026-03-06,Churned,390.86,Monthly
SUB000026,CU000026,PL01,2022-08-10,,Active,42.39,Monthly
SUB000027,CU000027,PL02,2024-01-20,,Active,150.38,Monthly
SUB000028,CU000028,PL02,2024-02-06,,Active,157.28,Annual
SUB000029,CU000029,PL03,2024-12-04,,Active,402.63,Monthly
SUB000030,CU000030,PL01,2024-11-07,,Active,54.79,Annual
SUB000031,CU000031,PL04,2023-01-30,,Active,1326.42,Annual
SUB000032,CU000032,PL02,2023-06-06,,Active,174.31,Monthly
SUB000033,CU000033,PL04,2024-02-19,2025-10-20,Churned,1479.47,Annual
SUB000034,CU000034,PL03,2022-10-21,,Active,416.96,Annual
SUB000035,CU000035,PL03,2024-11-18,,Active,393.67,Annual
SUB000036,CU000036,PL01,2025-04-01,2025-07-26,Churned,54.84,Annual
SUB000037,CU000037,PL01,2022-12-12,2026-07-02,Churned,58.74,Monthly
SUB000038,CU000038,PL02,2026-03-16,,Active,172.05,Annual
SUB000039,CU000039,PL04,2025-07-11,,Active,1068.37,Annual
SUB000040,CU000040,PL01,2022-11-17,,Active,45.3,Annual
SUB000041,CU000041,PL01,2025-10-20,,Active,58.81,Monthly
SUB000042,CU000042,PL01,2025-02-23,,Active,52.7,Monthly
SUB000043,CU000043,PL01,2025-08-11,2025-12-01,Churned,52.62,Annual
SUB000044,CU000044,PL01,2024-01-02,2024-10-01,Churned,45.03,Monthly
SUB000045,CU000045,PL02,2024-07-04,,Active,146.93,Monthly
SUB000046,CU000046,PL02,2023-02-12,,Active,185.99,Annual
SUB000047,CU000047,PL02,2023-05-01,2024-08-12,Churned,172.14,Annual
SUB000048,CU000048,PL02,2025-02-03,,Active,152.3,Annual
SUB000049,CU000049,PL02,2024-02-12,,Active,161.35,Annual
SUB000050,CU000050,PL02,2025-02-19,,Active,170.96,Annual
SUB000051,CU000051,PL01,2022-02-22,,Active,46.41,Annual
SUB000052,CU000052,PL01,2024-06-01,,Active,59.88,Monthly
SUB000053,CU000053,PL03,2024-10-14,2025-12-16,Churned,394.85,Monthly
SUB000054,CU000054,PL02,2023-08-20,,Active,164.16,Monthly
SUB000055,CU000055,PL03,2022-06-07,,Active,468.02,Monthly
SUB000056,CU000056,PL02,2024-11-28,,Active,168.95,Monthly
SUB000057,CU000057,PL02,2022-12-10,,Active,140.7,Monthly
SUB000058,CU000058,PL04,2026-04-05,,Active,1239.08,Annual
SUB000059,CU000059,PL01,2022-04-01,,Active,58.56,Monthly
SUB000060,CU000060,PL02,2025-09-30,2026-02-21,Churned,147.85,Monthly
SUB000061,CU000061,PL02,2024-12-17,2025-12-16,Churned,131.77,Monthly
SUB000062,CU000062,PL02,2024-02-02,,Active,150.09,Annual
SUB000063,CU000063,PL04,2025-09-01,,Active,1151.03,Monthly
SUB000064,CU000064,PL03,2024-10-16,,Active,370.91,Annual
SUB000065,CU000065,PL01,2023-08-31,,Active,54.96,Monthly
SUB000066,CU000066,PL02,2024-04-15,,Active,152.43,Annual
SUB000067,CU000067,PL02,2023-08-30,,Active,146.35,Annual
SUB000068,CU000068,PL03,2023-05-28,,Active,366.56,Annual
SUB000069,CU000069,PL03,2024-09-26,,Active,420.95,Monthly
SUB000070,CU000070,PL02,2022-04-22,,Active,143.44,Annual
SUB000071,CU000071,PL02,2022-11-23,,Active,151.87,Monthly
SUB000072,CU000072,PL02,2024-05-09,,Active,154.47,Annual
SUB000073,CU000073,PL02,2023-03-31,2024-09-10,Churned,161.05,Annual
SUB000074,CU000074,PL02,2024-05-21,,Active,131.74,Annual
SUB000075,CU000075,PL04,2026-05-11,,Active,1106.42,Monthly
SUB000076,CU000076,PL01,2023-05-30,,Active,45.15,Monthly
SUB000077,CU000077,PL02,2024-11-25,2025-09-13,Churned,185.73,Annual
SUB000078,CU000078,PL01,2022-08-03,,Active,52.28,Monthly
SUB000079,CU000079,PL02,2024-02-10,2024-09-03,Churned,130.93,Monthly
SUB000080,CU000080,PL02,2024-03-12,,Active,141.73,Monthly
SUB000081,CU000081,PL03,2026-06-04,,Active,364.11,Annual
SUB000082,CU000082,PL02,2023-06-02,,Active,126.71,Annual
SUB000083,CU000083,PL04,2023-07-28,,Active,1173.14,Annual
SUB000084,CU000084,PL03,2024-05-17,,Active,388.96,Annual
SUB000085,CU000085,PL02,2022-02-25,,Active,155.94,Annual
SUB000086,CU000086,PL03,2022-12-17,2025-05-12,Churned,392.9,Annual
SUB000087,CU000087,PL01,2022-06-01,,Active,42.7,Monthly
SUB000088,CU000088,PL03,2024-04-17,2026-04-03,Churned,422.15,Annual
SUB000089,CU000089,PL02,2025-11-17,,Active,147.65,Monthly
SUB000090,CU000090,PL04,2025-04-26,,Active,1111.98,Annual
SUB000091,CU000091,PL04,2023-09-26,,Active,1130.46,Annual
SUB000092,CU000092,PL02,2026-06-18,,Active,167.99,Annual
SUB000093,CU000093,PL01,2026-03-13,,Active,54.61,Monthly
SUB000094,CU000094,PL02,2022-02-23,,Active,155.08,Annual
SUB000095,CU000095,PL02,2026-01-14,,Active,180.42,Monthly
SUB000096,CU000096,PL04,2023-03-29,2026-05-11,Churned,1238.33,Annual
SUB000097,CU000097,PL03,2024-08-02,,Active,404.73,Annual
SUB000098,CU000098,PL01,2022-03-29,,Active,58.04,Monthly
SUB000099,CU000099,PL01,2023-05-09,,Active,45.64,Monthly
SUB000100,CU000100,PL04,2026-04-12,,Active,1378.12,Monthly
SUB000101,CU000101,PL01,2024-06-21,,Active,56.25,Monthly
SUB000102,CU000102,PL02,2024-02-22,,Active,154.66,Annual
SUB000103,CU000103,PL02,2023-08-10,,Active,165.9,Annual
SUB000104,CU000104,PL01,2022-01-24,,Active,59.44,Annual
SUB000105,CU000105,PL02,2024-11-10,,Active,153.96,Monthly
SUB000106,CU000106,PL02,2025-02-26,,Active,152.4,Monthly
SUB000107,CU000107,PL03,2025-09-28,,Active,486.98,Monthly
SUB000108,CU000108,PL01,2023-08-17,,Active,60.49,Monthly
SUB000109,CU000109,PL01,2026-01-30,,Active,45.89,Annual
SUB000110,CU000110,PL02,2022-01-09,,Active,164.98,Annual
SUB000111,CU000111,PL04,2022-11-28,,Active,1389.14,Annual
SUB000112,CU000112,PL02,2026-05-21,,Active,168.33,Monthly
SUB000113,CU000113,PL02,2024-03-22,,Active,167.74,Annual
SUB000114,CU000114,PL03,2025-11-30,2026-05-26,Churned,454.22,Annual
SUB000115,CU000115,PL02,2025-09-21,,Active,149.28,Monthly
SUB000116,CU000116,PL02,2025-03-28,,Active,178.85,Annual
SUB000117,CU000117,PL01,2026-04-02,,Active,54.35,Annual
SUB000118,CU000118,PL01,2024-08-02,,Active,49.21,Monthly
SUB000119,CU000119,PL02,2024-09-30,,Active,165.35,Annual
SUB000120,CU000120,PL01,2024-11-12,2026-08-10,Churned,46.78,Annual
SUB000121,CU000121,PL03,2023-03-17,2025-01-06,Churned,409.18,Annual
SUB000122,CU000122,PL02,2023-01-15,,Active,168.62,Monthly
SUB000123,CU000123,PL01,2024-01-23,,Active,48.73,Monthly
SUB000124,CU000124,PL01,2024-05-17,2025-10-29,Churned,56.88,Monthly
SUB000125,CU000125,PL02,2025-11-28,,Active,147.01,Annual
SUB000126,CU000126,PL01,2023-08-04,2025-03-22,Churned,60.11,Monthly
SUB000127,CU000127,PL01,2025-08-10,,Active,59.14,Monthly
SUB000128,CU000128,PL04,2022-05-31,,Active,1030.54,Monthly
SUB000129,CU000129,PL02,2023-03-27,,Active,142.16,Monthly
SUB000130,CU000130,PL02,2022-05-10,,Active,143.38,Annual
SUB000131,CU000131,PL02,2022-08-31,,Active,174.13,Monthly
SUB000132,CU000132,PL03,2024-06-25,,Active,362.84,Annual
SUB000133,CU000133,PL01,2022-11-26,,Active,51.32,Monthly
SUB000134,CU000134,PL03,2022-11-26,2025-09-11,Churned,451.41,Monthly
SUB000135,CU000135,PL02,2022-06-08,,Active,152.43,Annual
SUB000136,CU000136,PL01,2024-04-20,,Active,46.62,Monthly
SUB000137,CU000137,PL04,2023-10-20,,Active,1381.77,Annual
