TicketID,CustomerID,OpenedDate,Severity,ResolutionHours,Status,Category
T000001,CU002861,2026-05-05,Medium,2.8,Resolved,Integration
T000002,CU006067,2026-06-13,Low,2.1,Resolved,Account
T000003,CU002686,2026-05-26,High,17.23,Escalated,How-to
T000004,CU009942,2025-09-01,Medium,0.92,Resolved,Performance
T000005,CU001417,2025-12-03,Medium,0.91,Escalated,Performance
T000006,CU004247,2024-12-08,High,14.96,Resolved,Product Bug
T000007,CU006240,2024-01-30,High,23.49,Open,How-to
T000008,CU005334,2023-02-02,Low,6.5,Open,Performance
T000009,CU008817,2026-06-23,High,27.61,Open,Account
T000010,CU010132,2025-03-15,Medium,5.47,Resolved,Billing
T000011,CU009910,2025-01-08,Low,4.11,Resolved,How-to
T000012,CU007796,2025-11-19,Low,6.32,Resolved,Product Bug
T000013,CU008221,2026-06-19,Medium,6.96,Escalated,Integration
T000014,CU006409,2023-06-20,Low,3.94,Open,Performance
T000015,CU011480,2023-12-20,Medium,1.09,Resolved,Billing
T000016,CU001374,2026-08-25,Medium,9.64,Open,Billing
T000017,CU001638,2026-07-07,Medium,1.69,Resolved,Billing
T000018,CU004905,2026-06-09,Medium,11.69,Resolved,Integration
T000019,CU011720,2026-03-22,High,7.25,Resolved,Account
T000020,CU005432,2023-06-11,Critical,3.6,Open,Performance
T000021,CU001416,2026-08-20,Low,4.82,Open,Billing
T000022,CU003174,2026-08-31,Medium,6.32,Escalated,Product Bug
T000023,CU003598,2025-11-27,Low,7.19,Escalated,Account
T000024,CU002931,2026-03-27,Medium,6.36,Open,Performance
T000025,CU010556,2026-06-30,Medium,9.51,Resolved,Account
T000026,CU001212,2024-07-11,Medium,4.61,Resolved,Account
T000027,CU004993,2025-04-01,Medium,3.39,Resolved,Integration
T000028,CU010712,2026-04-08,Low,2.35,Resolved,Billing
T000029,CU005546,2023-07-06,Medium,3.39,Escalated,Integration
T000030,CU008764,2026-03-17,Low,3.0,Resolved,How-to
T000031,CU009921,2026-04-15,Low,2.92,Resolved,Product Bug
T000032,CU010759,2026-05-04,Medium,8.48,Resolved,Performance
T000033,CU008689,2026-03-02,Low,5.82,Resolved,Account
T000034,CU008227,2026-05-18,Medium,3.96,Resolved,Performance
T000035,CU001267,2026-04-08,Medium,9.59,Resolved,Account
T000036,CU011320,2025-10-27,Medium,2.1,Resolved,Account
T000037,CU005535,2025-07-08,High,10.49,Resolved,How-to
T000038,CU004788,2022-10-31,Medium,1.82,Resolved,Performance
T000039,CU008091,2024-08-12,Low,5.22,Open,Performance
T000040,CU007200,2025-03-03,Medium,13.43,Escalated,Performance
T000041,CU002756,2026-02-15,High,6.02,Resolved,Account
T000042,CU000334,2026-08-26,Low,3.22,Escalated,Performance
T000043,CU009078,2024-07-29,Medium,1.49,Resolved,Account
T000044,CU004505,2023-12-11,Low,6.61,Escalated,Integration
T000045,CU006178,2025-02-02,Medium,2.14,Resolved,Billing
T000046,CU006430,2025-06-13,High,23.37,Resolved,Integration
T000047,CU000665,2025-12-31,Medium,6.49,Resolved,Account
T000048,CU004604,2025-07-25,Low,5.82,Escalated,Integration
T000049,CU000691,2025-10-06,Medium,3.62,Resolved,Product Bug
T000050,CU004955,2025-03-10,Medium,4.45,Resolved,Performance
T000051,CU002996,2026-03-14,Medium,2.39,Resolved,How-to
T000052,CU005034,2022-12-14,Critical,3.5,Open,Performance
T000053,CU011147,2025-02-02,Medium,1.88,Open,Integration
T000054,CU004275,2025-09-05,Medium,1.69,Resolved,Account
T000055,CU001299,2025-10-12,Medium,2.51,Escalated,Product Bug
T000056,CU011530,2025-02-19,Medium,13.13,Open,Integration
T000057,CU006625,2025-07-26,Low,1.73,Escalated,How-to
T000058,CU002011,2025-12-18,Medium,4.28,Resolved,Integration
T000059,CU007456,2026-01-31,Low,3.24,Resolved,Performance
T000060,CU011707,2024-07-19,Medium,8.27,Resolved,Account
T000061,CU011732,2025-11-20,Low,6.8,Resolved,Account
T000062,CU002681,2024-09-29,Medium,10.98,Resolved,How-to
T000063,CU001822,2026-01-26,Low,1.01,Resolved,Billing
T000064,CU011354,2023-07-15,Medium,2.11,Escalated,How-to
T000065,CU009703,2026-05-07,High,4.0,Resolved,Integration
T000066,CU003682,2025-12-04,Medium,4.46,Resolved,How-to
T000067,CU002975,2025-06-08,High,16.44,Resolved,Account
T000068,CU001287,2024-05-31,Low,2.61,Resolved,Product Bug
T000069,CU001522,2025-05-20,Critical,13.1,Resolved,Performance
T000070,CU006259,2026-02-26,Low,3.26,Escalated,Product Bug
T000071,CU003617,2025-11-29,Low,2.68,Resolved,Performance
T000072,CU002201,2024-06-14,Low,7.45,Escalated,Product Bug
T000073,CU003464,2026-03-15,Low,6.4,Resolved,Performance
T000074,CU005052,2024-12-08,Medium,8.39,Resolved,Performance
T000075,CU002114,2025-08-02,Critical,17.13,Resolved,Account
T000076,CU005014,2024-12-10,Low,9.28,Escalated,Billing
T000077,CU009323,2023-01-05,Low,5.92,Resolved,Billing
T000078,CU004617,2026-07-14,High,24.15,Resolved,Billing
T000079,CU003371,2025-07-08,Low,1.51,Resolved,Integration
T000080,CU007414,2025-03-11,Low,3.07,Resolved,Integration
T000081,CU007512,2023-11-26,Low,4.02,Open,Account
T000082,CU006893,2025-10-17,Low,2.87,Open,Performance
T000083,CU000542,2026-08-26,Low,7.97,Resolved,Performance
T000084,CU001488,2025-02-11,Medium,4.92,Escalated,Performance
T000085,CU009104,2026-08-28,Medium,5.12,Resolved,Product Bug
T000086,CU003012,2026-02-03,Medium,4.09,Escalated,How-to
T000087,CU008573,2024-02-06,Low,8.58,Resolved,Account
T000088,CU011408,2023-10-03,Low,3.86,Open,Integration
T000089,CU006438,2026-02-12,Low,6.05,Resolved,Performance
T000090,CU009103,2026-01-31,Low,2.7,Escalated,Performance
T000091,CU000134,2025-09-29,Low,3.13,Resolved,Performance
T000092,CU009498,2026-05-09,Medium,1.68,Resolved,Account
T000093,CU009779,2026-01-30,Low,3.66,Resolved,Performance
T000094,CU001757,2026-03-23,Low,10.03,Resolved,How-to
T000095,CU007628,2025-01-05,Critical,4.11,Resolved,How-to
T000096,CU008800,2026-07-07,High,12.16,Escalated,Billing
T000097,CU002824,2026-05-01,Low,5.13,Resolved,Performance
T000098,CU001882,2024-08-29,Low,18.27,Resolved,Account
T000099,CU011104,2025-07-12,Critical,10.55,Open,Billing
T000100,CU001169,2024-07-02,Medium,1.71,Resolved,Account
T000101,CU005545,2023-04-24,Medium,4.17,Resolved,Billing
T000102,CU005019,2025-08-16,Medium,5.97,Resolved,Account
T000103,CU004654,2024-02-13,Medium,2.84,Open,Performance
T000104,CU011002,2024-08-03,Medium,7.63,Resolved,Product Bug
T000105,CU002854,2024-03-04,Medium,5.11,Resolved,How-to
T000106,CU001171,2025-09-26,Low,2.91,Resolved,Account
T000107,CU000538,2025-08-14,Low,1.57,Resolved,Performance
T000108,CU010947,2026-02-26,Low,9.69,Resolved,Billing
T000109,CU008978,2025-06-10,Medium,3.36,Open,Performance
T000110,CU002839,2026-02-28,Low,4.56,Resolved,How-to
T000111,CU006972,2026-06-11,High,10.31,Escalated,Billing
T000112,CU011376,2026-05-01,Low,6.56,Resolved,How-to
T000113,CU003700,2025-10-16,Low,4.88,Resolved,Billing
T000114,CU005038,2024-04-15,High,8.63,Resolved,Integration
T000115,CU007795,2026-06-13,Medium,8.77,Resolved,Billing
T000116,CU007931,2025-08-21,Low,8.93,Resolved,Billing
T000117,CU004355,2026-06-11,Medium,1.39,Open,Account
T000118,CU007406,2026-03-20,Low,2.2,Resolved,Product Bug
T000119,CU000538,2025-03-30,Low,5.91,Escalated,Account
T000120,CU000398,2026-06-24,Medium,2.38,Resolved,Product Bug
T000121,CU009414,2024-08-02,High,6.05,Escalated,Product Bug
T000122,CU011236,2024-12-25,Medium,4.33,Resolved,Integration
T000123,CU001237,2026-05-29,Medium,10.18,Escalated,How-to
T000124,CU002650,2025-08-14,Low,24.25,Escalated,Account
T000125,CU003997,2024-06-17,Low,5.51,Resolved,Product Bug
T000126,CU008593,2026-08-27,Low,3.42,Resolved,How-to
T000127,CU004836,2024-09-28,Medium,7.27,Escalated,Account
T000128,CU004640,2024-02-06,Medium,0.94,Resolved,Integration
T000129,CU000895,2024-02-25,Medium,1.3,Resolved,Product Bug
T000130,CU011730,2026-08-14,Low,2.98,Resolved,Product Bug
T000131,CU000194,2026-03-05,Low,36.53,Resolved,Product Bug
T000132,CU002581,2026-08-08,Medium,6.38,Escalated,Account
T000133,CU006165,2025-09-11,High,10.28,Escalated,How-to
T000134,CU007624,2025-12-04,Medium,6.56,Resolved,Billing
T000135,CU003907,2024-11-21,Medium,8.08,Resolved,How-to
T000136,CU009640,2025-12-14,Medium,3.15,Resolved,How-to
T000137,CU003935,2025-01-29,Critical,10.44,Open,Performance
T000138,CU007973,2026-01-19,Low,3.16,Resolved,Billing
T000139,CU002354,2026-04-30,Medium,3.44,Resolved,Performance
T000140,CU005483,2025-05-19,Low,3.74,Resolved,Account
T000141,CU005895,2025-07-01,Low,4.89,Resolved,Account
