RawCampaignKey,RawCampaignName,CampaignID
CAM0001_A1,uki-brand-001,CAM0001
CAM0001_A2,UKI Brand 001,CAM0001
CAM0001_A3,UKI-Brand-001,CAM0001
CAM0002_A1,anz-brand-002,CAM0002
CAM0002_A2,ANZ Brand 002,CAM0002
CAM0002_A3,AU-NZ-Brand-002,CAM0002
CAM0003_A1,uki-brand-003,CAM0003
CAM0003_A2,UKI Brand 003,CAM0003
CAM0003_A3,UKI-Brand-003,CAM0003
CAM0004_A1,north america-lead-gen-004,CAM0004
CAM0004_A2,North America Lead Gen 004,CAM0004
CAM0004_A3,North America-Lead-Gen-004,CAM0004
CAM0005_A1,uki-product-launch-005,CAM0005
CAM0005_A2,UKI Product Launch 005,CAM0005
CAM0005_A3,UKI-Product-Launch-005,CAM0005
CAM0006_A1,anz-webinar-006,CAM0006
CAM0006_A2,ANZ Webinar 006,CAM0006
CAM0006_A3,AU-NZ-Webinar-006,CAM0006
CAM0007_A1,sea-lead-gen-007,CAM0007
CAM0007_A2,SEA Lead Gen 007,CAM0007
CAM0007_A3,SEA-Lead-Gen-007,CAM0007
CAM0008_A1,uki-brand-008,CAM0008
CAM0008_A2,UKI Brand 008,CAM0008
CAM0008_A3,UKI-Brand-008,CAM0008
CAM0009_A1,dach-webinar-009,CAM0009
CAM0009_A2,DACH Webinar 009,CAM0009
CAM0009_A3,DACH-Webinar-009,CAM0009
CAM0010_A1,uki-brand-010,CAM0010
CAM0010_A2,UKI Brand 010,CAM0010
CAM0010_A3,UKI-Brand-010,CAM0010
CAM0011_A1,anz-webinar-011,CAM0011
CAM0011_A2,ANZ Webinar 011,CAM0011
CAM0011_A3,AU-NZ-Webinar-011,CAM0011
CAM0012_A1,north america-webinar-012,CAM0012
CAM0012_A2,North America Webinar 012,CAM0012
CAM0012_A3,North America-Webinar-012,CAM0012
CAM0013_A1,dach-product-launch-013,CAM0013
CAM0013_A2,DACH Product Launch 013,CAM0013
CAM0013_A3,DACH-Product-Launch-013,CAM0013
CAM0014_A1,anz-brand-014,CAM0014
CAM0014_A2,ANZ Brand 014,CAM0014
CAM0014_A3,AU-NZ-Brand-014,CAM0014
CAM0015_A1,north america-retargeting-015,CAM0015
CAM0015_A2,North America Retargeting 015,CAM0015
CAM0015_A3,North America-Retargeting-015,CAM0015
CAM0016_A1,dach-product-launch-016,CAM0016
CAM0016_A2,DACH Product Launch 016,CAM0016
CAM0016_A3,DACH-Product-Launch-016,CAM0016
CAM0017_A1,uki-lead-gen-017,CAM0017
CAM0017_A2,UKI Lead Gen 017,CAM0017
CAM0017_A3,UKI-Lead-Gen-017,CAM0017
CAM0018_A1,dach-retargeting-018,CAM0018
CAM0018_A2,DACH Retargeting 018,CAM0018
CAM0018_A3,DACH-Retargeting-018,CAM0018
CAM0019_A1,uki-product-launch-019,CAM0019
CAM0019_A2,UKI Product Launch 019,CAM0019
CAM0019_A3,UKI-Product-Launch-019,CAM0019
CAM0020_A1,north america-brand-020,CAM0020
CAM0020_A2,North America Brand 020,CAM0020
CAM0020_A3,North America-Brand-020,CAM0020
CAM0021_A1,north america-retargeting-021,CAM0021
CAM0021_A2,North America Retargeting 021,CAM0021
CAM0021_A3,North America-Retargeting-021,CAM0021
CAM0022_A1,anz-retargeting-022,CAM0022
CAM0022_A2,ANZ Retargeting 022,CAM0022
CAM0022_A3,AU-NZ-Retargeting-022,CAM0022
CAM0023_A1,sea-retargeting-023,CAM0023
CAM0023_A2,SEA Retargeting 023,CAM0023
CAM0023_A3,SEA-Retargeting-023,CAM0023
CAM0024_A1,dach-brand-024,CAM0024
CAM0024_A2,DACH Brand 024,CAM0024
CAM0024_A3,DACH-Brand-024,CAM0024
CAM0025_A1,anz-brand-025,CAM0025
CAM0025_A2,ANZ Brand 025,CAM0025
CAM0025_A3,AU-NZ-Brand-025,CAM0025
CAM0026_A1,north america-product-launch-026,CAM0026
CAM0026_A2,North America Product Launch 026,CAM0026
CAM0026_A3,North America-Product-Launch-026,CAM0026
CAM0027_A1,anz-brand-027,CAM0027
CAM0027_A2,ANZ Brand 027,CAM0027
CAM0027_A3,AU-NZ-Brand-027,CAM0027
CAM0028_A1,sea-retargeting-028,CAM0028
CAM0028_A2,SEA Retargeting 028,CAM0028
CAM0028_A3,SEA-Retargeting-028,CAM0028
CAM0029_A1,north america-retargeting-029,CAM0029
CAM0029_A2,North America Retargeting 029,CAM0029
CAM0029_A3,North America-Retargeting-029,CAM0029
CAM0030_A1,sea-lead-gen-030,CAM0030
CAM0030_A2,SEA Lead Gen 030,CAM0030
CAM0030_A3,SEA-Lead-Gen-030,CAM0030
CAM0031_A1,dach-brand-031,CAM0031
