CampaignID,CanonicalCampaignName,ChannelID,Region,Objective,StartDate
CAM0001,UKI_Brand_001,CH04,UKI,Brand,2024-11-05
CAM0002,ANZ_Brand_002,CH06,ANZ,Brand,2025-11-09
CAM0003,UKI_Brand_003,CH07,UKI,Brand,2024-08-28
CAM0004,North America_Lead_Gen_004,CH07,North America,Lead Gen,2024-06-22
CAM0005,UKI_Product_Launch_005,CH02,UKI,Product Launch,2024-04-17
CAM0006,ANZ_Webinar_006,CH04,ANZ,Webinar,2025-11-29
CAM0007,SEA_Lead_Gen_007,CH02,SEA,Lead Gen,2025-03-08
CAM0008,UKI_Brand_008,CH02,UKI,Brand,2024-04-23
CAM0009,DACH_Webinar_009,CH02,DACH,Webinar,2026-04-07
CAM0010,UKI_Brand_010,CH04,UKI,Brand,2025-04-27
CAM0011,ANZ_Webinar_011,CH01,ANZ,Webinar,2025-12-31
CAM0012,North America_Webinar_012,CH07,North America,Webinar,2026-04-18
CAM0013,DACH_Product_Launch_013,CH03,DACH,Product Launch,2024-03-03
CAM0014,ANZ_Brand_014,CH01,ANZ,Brand,2024-05-09
CAM0015,North America_Retargeting_015,CH06,North America,Retargeting,2024-12-19
CAM0016,DACH_Product_Launch_016,CH02,DACH,Product Launch,2025-07-21
CAM0017,UKI_Lead_Gen_017,CH02,UKI,Lead Gen,2025-08-18
CAM0018,DACH_Retargeting_018,CH01,DACH,Retargeting,2024-02-16
CAM0019,UKI_Product_Launch_019,CH02,UKI,Product Launch,2025-04-24
CAM0020,North America_Brand_020,CH02,North America,Brand,2024-05-14
CAM0021,North America_Retargeting_021,CH01,North America,Retargeting,2024-02-19
CAM0022,ANZ_Retargeting_022,CH04,ANZ,Retargeting,2024-07-04
CAM0023,SEA_Retargeting_023,CH02,SEA,Retargeting,2025-10-09
CAM0024,DACH_Brand_024,CH04,DACH,Brand,2024-04-23
CAM0025,ANZ_Brand_025,CH03,ANZ,Brand,2024-09-01
CAM0026,North America_Product_Launch_026,CH03,North America,Product Launch,2025-08-21
CAM0027,ANZ_Brand_027,CH01,ANZ,Brand,2024-06-14
CAM0028,SEA_Retargeting_028,CH01,SEA,Retargeting,2024-05-19
CAM0029,North America_Retargeting_029,CH03,North America,Retargeting,2026-03-13
CAM0030,SEA_Lead_Gen_030,CH06,SEA,Lead Gen,2026-01-08
CAM0031,DACH_Brand_031,CH03,DACH,Brand,2026-02-19
CAM0032,SEA_Product_Launch_032,CH01,SEA,Product Launch,2025-08-17
CAM0033,DACH_Brand_033,CH01,DACH,Brand,2024-08-05
CAM0034,UKI_Product_Launch_034,CH01,UKI,Product Launch,2024-06-26
CAM0035,SEA_Webinar_035,CH06,SEA,Webinar,2024-10-06
CAM0036,ANZ_Brand_036,CH02,ANZ,Brand,2024-02-14
CAM0037,DACH_Product_Launch_037,CH01,DACH,Product Launch,2026-01-02
CAM0038,North America_Brand_038,CH05,North America,Brand,2025-06-18
CAM0039,North America_Retargeting_039,CH04,North America,Retargeting,2024-07-12
CAM0040,SEA_Webinar_040,CH02,SEA,Webinar,2024-04-05
CAM0041,SEA_Retargeting_041,CH04,SEA,Retargeting,2024-09-01
CAM0042,ANZ_Product_Launch_042,CH02,ANZ,Product Launch,2024-09-30
CAM0043,SEA_Product_Launch_043,CH07,SEA,Product Launch,2024-06-09
CAM0044,ANZ_Retargeting_044,CH06,ANZ,Retargeting,2025-01-22
CAM0045,UKI_Product_Launch_045,CH06,UKI,Product Launch,2025-12-04
CAM0046,DACH_Brand_046,CH03,DACH,Brand,2024-05-02
CAM0047,UKI_Webinar_047,CH07,UKI,Webinar,2024-05-28
CAM0048,SEA_Brand_048,CH06,SEA,Brand,2026-01-16
CAM0049,SEA_Brand_049,CH02,SEA,Brand,2024-08-28
CAM0050,ANZ_Retargeting_050,CH04,ANZ,Retargeting,2025-12-24
CAM0051,DACH_Lead_Gen_051,CH03,DACH,Lead Gen,2024-07-01
CAM0052,North America_Lead_Gen_052,CH02,North America,Lead Gen,2024-02-28
CAM0053,ANZ_Product_Launch_053,CH04,ANZ,Product Launch,2025-07-08
CAM0054,DACH_Brand_054,CH01,DACH,Brand,2025-06-18
CAM0055,North America_Webinar_055,CH01,North America,Webinar,2025-12-28
CAM0056,UKI_Retargeting_056,CH07,UKI,Retargeting,2024-03-24
CAM0057,North America_Brand_057,CH04,North America,Brand,2024-11-10
CAM0058,North America_Lead_Gen_058,CH04,North America,Lead Gen,2025-05-12
CAM0059,DACH_Product_Launch_059,CH01,DACH,Product Launch,2024-07-13
CAM0060,DACH_Product_Launch_060,CH05,DACH,Product Launch,2024-04-23
CAM0061,SEA_Webinar_061,CH01,SEA,Webinar,2024-12-21
CAM0062,DACH_Brand_062,CH03,DACH,Brand,2024-09-27
CAM0063,UKI_Brand_063,CH04,UKI,Brand,2025-09-12
CAM0064,North America_Product_Launch_064,CH06,North America,Product Launch,2024-07-12
CAM0065,UKI_Retargeting_065,CH05,UKI,Retargeting,2024-10-20
CAM0066,DACH_Webinar_066,CH04,DACH,Webinar,2025-03-06
CAM0067,ANZ_Brand_067,CH07,ANZ,Brand,2024-11-11
CAM0068,SEA_Lead_Gen_068,CH06,SEA,Lead Gen,2025-11-30
CAM0069,DACH_Product_Launch_069,CH04,DACH,Product Launch,2026-03-27
CAM0070,ANZ_Retargeting_070,CH02,ANZ,Retargeting,2024-02-27
CAM0071,North America_Brand_071,CH04,North America,Brand,2025-08-23
CAM0072,DACH_Webinar_072,CH04,DACH,Webinar,2026-01-08
CAM0073,ANZ_Product_Launch_073,CH05,ANZ,Product Launch,2025-02-12
CAM0074,North America_Lead_Gen_074,CH04,North America,Lead Gen,2025-10-20
CAM0075,UKI_Webinar_075,CH05,UKI,Webinar,2025-05-05
CAM0076,DACH_Brand_076,CH04,DACH,Brand,2025-03-07
CAM0077,North America_Lead_Gen_077,CH02,North America,Lead Gen,2024-06-22
CAM0078,DACH_Lead_Gen_078,CH04,DACH,Lead Gen,2024-09-12
CAM0079,ANZ_Brand_079,CH07,ANZ,Brand,2025-12-30
CAM0080,DACH_Product_Launch_080,CH07,DACH,Product Launch,2024-03-29
CAM0081,DACH_Retargeting_081,CH02,DACH,Retargeting,2025-08-31
CAM0082,ANZ_Retargeting_082,CH03,ANZ,Retargeting,2024-10-27
CAM0083,UKI_Brand_083,CH05,UKI,Brand,2024-07-01
CAM0084,North America_Brand_084,CH07,North America,Brand,2025-12-24
CAM0085,DACH_Brand_085,CH01,DACH,Brand,2025-12-26
CAM0086,North America_Webinar_086,CH07,North America,Webinar,2024-10-12
CAM0087,ANZ_Retargeting_087,CH05,ANZ,Retargeting,2024-03-30
CAM0088,ANZ_Brand_088,CH02,ANZ,Brand,2024-11-07
CAM0089,UKI_Brand_089,CH01,UKI,Brand,2026-01-05
