AdRowID,Date,CampaignID,ChannelID,Impressions,Clicks,SpendLocal,Currency
AD0000001,2026-05-30,CAM0147,CH02,35160,973,2514.07,AUD
AD0000002,2026-07-15,CAM0079,CH07,39523,1247,8203.82,AUD
AD0000003,2025-07-03,CAM0033,CH01,9057,128,508.05,EUR
AD0000004,2024-07-31,CAM0173,CH06,38159,788,4469.34,AUD
AD0000005,2025-10-23,CAM0056,CH07,139179,3464,8107.98,EUR
AD0000006,2024-11-11,CAM0286,CH05,100002,4804,31146.02,EUR
AD0000007,2024-06-10,CAM0174,CH02,39927,1536,11074.17,GBP
AD0000008,2025-08-16,CAM0236,CH07,27011,2140,16950.14,EUR
AD0000009,2025-02-12,CAM0153,CH06,39356,459,1215.84,GBP
AD0000010,2025-02-24,CAM0022,CH04,94018,3045,3777.2,USD
AD0000011,2025-02-28,CAM0080,CH07,102056,7213,50439.53,USD
AD0000012,2025-01-12,CAM0135,CH07,13476,384,1050.56,AUD
AD0000013,2024-04-15,CAM0097,CH06,21524,436,1698.49,AUD
AD0000014,2025-06-08,CAM0062,CH03,59862,4859,24566.38,AUD
AD0000015,2024-03-13,CAM0285,CH06,45020,945,7269.99,EUR
AD0000016,2026-01-28,CAM0274,CH01,82752,609,4396.97,EUR
AD0000017,2025-08-02,CAM0008,CH02,1974,46,191.17,USD
AD0000018,2024-03-28,CAM0265,CH02,50403,139,367.13,AUD
AD0000019,2025-06-24,CAM0077,CH02,69283,3613,20478.14,USD
AD0000020,2024-06-23,CAM0136,CH07,27824,717,3546.89,AUD
AD0000021,2024-06-18,CAM0177,CH07,146199,11561,55758.36,USD
AD0000022,2024-12-28,CAM0007,CH02,22337,2078,3351.58,EUR
AD0000023,2024-04-07,CAM0188,CH01,84045,7765,34466.11,EUR
AD0000024,2026-08-12,CAM0270,CH07,57220,1048,5141.15,GBP
AD0000025,2024-09-25,CAM0151,CH04,25015,626,3531.71,AUD
AD0000026,2026-01-04,CAM0041,CH04,143513,7905,41253.76,EUR
AD0000027,2025-03-04,CAM0063,CH04,91771,8270,55613.91,AUD
AD0000028,2024-06-29,CAM0171,CH03,98303,269,1100.04,AUD
AD0000029,2026-07-08,CAM0006,CH04,126479,1341,3122.84,AUD
AD0000030,2026-03-19,CAM0203,CH05,127590,654,3150.96,AUD
AD0000031,2024-06-30,CAM0083,CH05,23263,80,636.25,GBP
AD0000032,2024-05-16,CAM0131,CH06,65765,736,1327.91,EUR
AD0000033,2025-04-16,CAM0266,CH04,58541,2272,3188.19,USD
AD0000034,2024-03-28,CAM0296,CH03,140893,7438,31424.72,AUD
AD0000035,2024-06-07,CAM0149,CH01,113658,3317,21297.11,USD
AD0000036,2025-10-20,CAM0280,CH01,145565,8301,55903.73,GBP
AD0000037,2024-12-06,CAM0210,CH03,88452,5787,8350.38,GBP
AD0000038,2024-10-16,CAM0073,CH05,8695,573,944.46,GBP
AD0000039,2025-04-22,CAM0032,CH01,108105,1653,1730.88,USD
AD0000040,2024-02-18,CAM0022,CH04,69692,6717,39035.1,EUR
AD0000041,2026-02-19,CAM0021,CH01,48568,2750,16388.23,EUR
AD0000042,2025-11-09,CAM0169,CH05,45595,3920,12478.7,AUD
AD0000043,2024-12-11,CAM0208,CH06,80269,6975,19503.38,USD
AD0000044,2025-02-03,CAM0245,CH05,44807,2121,6306.78,GBP
AD0000045,2024-09-21,CAM0300,CH01,64383,720,2335.16,GBP
AD0000046,2026-05-27,CAM0129,CH01,31028,1320,7918.52,GBP
AD0000047,2025-03-25,CAM0160,CH04,41302,789,4138.64,GBP
AD0000048,2026-06-23,CAM0294,CH03,4496,468,1167.04,EUR
AD0000049,2025-01-15,CAM0134,CH04,130784,949,1471.8,AUD
AD0000050,2024-11-20,CAM0253,CH02,79738,561,1776.15,GBP
AD0000051,2024-08-09,CAM0075,CH05,34453,3433,14398.19,USD
AD0000052,2025-12-19,CAM0137,CH02,137064,3111,10920.41,EUR
AD0000053,2024-01-14,CAM0191,CH02,124196,3998,9737.55,USD
AD0000054,2025-12-18,CAM0245,CH05,140043,4193,4799.75,GBP
AD0000055,2024-09-10,CAM0233,CH04,98781,8279,41358.41,AUD
AD0000056,2025-12-22,CAM0083,CH05,61208,6839,22634.38,GBP
AD0000057,2026-05-22,CAM0035,CH06,29991,2245,8973.26,EUR
AD0000058,2024-01-20,CAM0147,CH02,51510,2953,20958.53,USD
