LeadID,CreatedDate,CampaignID,ChannelID,Segment,Country,LatestStage,EstimatedValue
L000001,2025-04-13,CAM0022,CH04,Enterprise,Australia,Lead,732.62
L000002,2024-11-23,CAM0015,CH06,SMB,UK,SQL,1385.06
L000003,2024-12-05,CAM0218,CH07,Enterprise,Singapore,Opportunity,2246.04
L000004,2026-08-31,CAM0121,CH02,SMB,Germany,MQL,5029.27
L000005,2024-09-01,CAM0199,CH04,SMB,Australia,Opportunity,2040.86
L000006,2024-05-13,CAM0109,CH04,SMB,Germany,Lead,2837.0
L000007,2024-09-26,CAM0162,CH07,Enterprise,Germany,MQL,4393.77
L000008,2025-05-30,CAM0111,CH05,Mid-Market,US,Lead,2266.28
L000009,2025-05-12,CAM0190,CH06,Enterprise,Australia,Lead,1343.71
L000010,2024-12-31,CAM0267,CH02,Mid-Market,US,Opportunity,2206.66
L000011,2024-07-23,CAM0164,CH03,SMB,Germany,SQL,2710.22
L000012,2024-11-15,CAM0110,CH02,SMB,UK,Opportunity,1788.93
L000013,2024-09-28,CAM0184,CH07,Enterprise,Australia,SQL,785.3
L000014,2025-11-04,CAM0089,CH01,Mid-Market,Singapore,Opportunity,3786.32
L000015,2025-07-03,CAM0038,CH05,Mid-Market,UK,Opportunity,1849.29
L000016,2025-07-11,CAM0124,CH03,Mid-Market,Singapore,Lead,4496.36
L000017,2026-05-14,CAM0296,CH03,Enterprise,Australia,Customer,1851.41
L000018,2024-06-14,CAM0136,CH07,Mid-Market,UK,Lead,69.68
L000019,2024-03-05,CAM0211,CH01,Enterprise,UK,Lead,139.21
L000020,2025-02-04,CAM0239,CH05,Enterprise,Germany,Opportunity,384.11
L000021,2025-02-22,CAM0050,CH04,Mid-Market,Germany,Lead,1855.95
L000022,2026-01-23,CAM0211,CH01,Mid-Market,UK,MQL,1286.11
L000023,2026-05-03,CAM0219,CH04,Mid-Market,Singapore,Lead,1534.11
L000024,2024-12-24,CAM0278,CH06,Enterprise,Australia,SQL,1355.36
L000025,2024-04-19,CAM0114,CH05,SMB,Australia,MQL,1495.18
L000026,2025-04-02,CAM0171,CH03,Enterprise,UK,SQL,238.47
L000027,2025-10-27,CAM0165,CH07,Mid-Market,Germany,SQL,1390.22
L000028,2024-04-13,CAM0029,CH03,Enterprise,Australia,SQL,2566.89
L000029,2026-08-29,CAM0005,CH02,Enterprise,US,Lead,4442.03
L000030,2025-11-01,CAM0201,CH03,Enterprise,US,Lead,2989.38
L000031,2025-08-03,CAM0032,CH01,Mid-Market,Singapore,Lead,967.5
L000032,2025-10-08,CAM0216,CH01,SMB,US,MQL,380.74
L000033,2025-10-04,CAM0050,CH04,SMB,Singapore,MQL,3175.23
L000034,2025-07-31,CAM0100,CH04,Enterprise,Singapore,Lead,2566.38
L000035,2024-12-30,CAM0271,CH02,Enterprise,Singapore,Opportunity,2086.81
L000036,2026-05-13,CAM0122,CH02,Enterprise,UK,MQL,3897.19
L000037,2026-07-25,CAM0252,CH07,SMB,Singapore,Customer,2550.58
L000038,2024-11-06,CAM0054,CH01,Mid-Market,US,SQL,3593.73
L000039,2025-09-27,CAM0228,CH02,Mid-Market,Germany,Opportunity,2993.43
L000040,2026-02-11,CAM0146,CH01,SMB,Germany,Lead,2983.83
L000041,2026-01-14,CAM0299,CH02,Enterprise,US,Lead,2903.26
L000042,2026-06-30,CAM0289,CH03,Mid-Market,Singapore,MQL,2689.11
L000043,2025-01-04,CAM0072,CH04,Mid-Market,US,SQL,1831.99
L000044,2024-08-06,CAM0063,CH04,Enterprise,Germany,SQL,2920.66
L000045,2026-01-21,CAM0142,CH06,Enterprise,US,Customer,541.97
L000046,2025-07-17,CAM0214,CH03,SMB,Germany,MQL,2220.39
L000047,2024-06-03,CAM0279,CH07,Mid-Market,UK,Lead,2569.83
L000048,2024-08-11,CAM0256,CH03,Enterprise,UK,MQL,1385.63
L000049,2025-05-08,CAM0289,CH03,Enterprise,Germany,MQL,2215.99
L000050,2025-02-26,CAM0092,CH02,Mid-Market,Singapore,Lead,364.32
L000051,2026-02-04,CAM0152,CH03,Enterprise,Germany,MQL,1158.55
L000052,2024-08-23,CAM0124,CH03,Mid-Market,Singapore,Opportunity,2646.58
L000053,2025-05-04,CAM0239,CH05,SMB,Singapore,Lead,1404.78
L000054,2024-03-25,CAM0113,CH04,Enterprise,UK,MQL,805.67
