OpportunityID,LeadID,CreatedDate,OpportunityValue,Status
OP000001,L000003,2024-12-29,31809.96,Closed Lost
OP000002,L000005,2024-10-04,3524.82,Open
OP000003,L000010,2025-01-20,743.09,Closed Won
OP000004,L000012,2024-12-02,5097.56,Closed Lost
OP000005,L000014,2025-11-19,3156.55,Closed Lost
OP000006,L000015,2025-07-12,2898.97,Closed Won
OP000007,L000017,2026-06-12,3455.29,Closed Won
OP000008,L000020,2025-02-25,7931.1,Closed Won
OP000009,L000035,2025-01-07,1117.57,Closed Won
OP000010,L000037,2026-08-05,2639.62,Closed Won
OP000011,L000039,2025-10-10,973.33,Closed Won
OP000012,L000045,2026-02-03,22084.74,Closed Won
OP000013,L000052,2024-09-08,666.21,Closed Won
OP000014,L000055,2024-01-26,1580.86,Closed Won
OP000015,L000061,2025-08-07,4618.78,Closed Won
OP000016,L000067,2026-03-19,4627.52,Open
OP000017,L000070,2025-12-06,7049.81,Closed Lost
OP000018,L000074,2025-01-12,1000.13,Closed Won
OP000019,L000075,2026-02-25,2030.01,Open
OP000020,L000077,2026-05-16,2033.74,Closed Lost
OP000021,L000094,2024-05-15,5020.35,Open
OP000022,L000099,2025-01-10,4292.53,Open
OP000023,L000105,2024-05-25,21204.02,Open
OP000024,L000108,2025-05-10,8199.89,Open
OP000025,L000109,2026-09-11,6095.48,Closed Won
OP000026,L000122,2024-04-12,1105.39,Closed Lost
OP000027,L000125,2026-03-02,736.25,Closed Won
OP000028,L000128,2024-09-08,4924.06,Closed Won
OP000029,L000130,2025-01-30,2125.56,Open
OP000030,L000142,2026-04-05,1396.7,Closed Won
OP000031,L000147,2024-05-14,3165.45,Closed Lost
OP000032,L000150,2024-11-12,982.18,Open
OP000033,L000151,2025-09-08,6662.22,Closed Won
OP000034,L000152,2025-11-28,13657.79,Closed Won
OP000035,L000163,2024-01-31,3991.22,Closed Won
OP000036,L000164,2025-08-13,4906.83,Closed Won
OP000037,L000165,2024-08-26,3173.97,Closed Won
OP000038,L000166,2025-12-27,1941.23,Closed Won
OP000039,L000167,2026-03-14,8206.65,Closed Won
OP000040,L000171,2024-10-12,5249.21,Closed Won
OP000041,L000172,2025-12-30,5219.32,Open
OP000042,L000175,2025-04-27,2654.89,Closed Lost
OP000043,L000179,2025-10-28,8464.34,Closed Lost
OP000044,L000182,2025-01-12,6167.32,Closed Won
OP000045,L000185,2026-02-13,1334.83,Closed Lost
OP000046,L000188,2024-10-02,4828.04,Closed Won
OP000047,L000191,2025-10-21,6156.72,Closed Won
OP000048,L000202,2025-12-31,2310.55,Closed Won
OP000049,L000206,2025-08-11,790.34,Closed Lost
OP000050,L000209,2025-07-17,1743.5,Open
OP000051,L000211,2026-07-01,2909.86,Closed Lost
OP000052,L000223,2024-09-06,12025.65,Open
OP000053,L000227,2025-01-22,4642.84,Closed Lost
OP000054,L000230,2025-02-01,4209.19,Open
OP000055,L000233,2026-02-09,1734.95,Closed Won
OP000056,L000239,2024-11-22,706.18,Closed Won
OP000057,L000242,2026-08-18,11464.52,Open
OP000058,L000243,2024-05-25,487.23,Closed Won
OP000059,L000247,2024-05-18,3158.08,Closed Lost
OP000060,L000248,2024-06-19,1518.65,Open
OP000061,L000249,2025-04-24,1461.38,Closed Won
OP000062,L000251,2024-05-20,9462.24,Closed Won
OP000063,L000257,2025-01-11,2362.74,Closed Lost
OP000064,L000263,2026-05-14,2147.23,Closed Lost
OP000065,L000271,2026-08-06,4313.34,Closed Won
OP000066,L000272,2024-03-06,2513.25,Closed Won
OP000067,L000273,2025-02-10,3199.9,Closed Won
OP000068,L000274,2025-07-01,3540.57,Closed Won
OP000069,L000276,2024-11-22,1314.9,Open
OP000070,L000277,2024-09-26,881.41,Closed Won
OP000071,L000283,2025-03-31,5600.87,Closed Lost
OP000072,L000284,2024-04-11,5059.4,Closed Lost
OP000073,L000290,2024-03-27,1954.41,Closed Won
OP000074,L000302,2024-10-18,2656.9,Closed Lost
OP000075,L000304,2024-12-14,3029.19,Closed Won
OP000076,L000305,2025-05-09,4493.82,Closed Won
OP000077,L000307,2025-04-23,9458.71,Closed Won
OP000078,L000313,2024-09-30,6512.19,Closed Won
OP000079,L000320,2025-08-14,799.46,Closed Lost
OP000080,L000340,2024-04-06,50937.22,Closed Won
OP000081,L000341,2025-11-12,2204.38,Open
OP000082,L000343,2024-02-14,621.03,Closed Won
OP000083,L000355,2025-03-11,1290.28,Closed Won
OP000084,L000362,2025-08-03,2905.93,Open
OP000085,L000365,2025-07-05,1146.37,Closed Won
OP000086,L000366,2024-02-18,16690.96,Open
OP000087,L000370,2026-03-05,2057.97,Closed Won
OP000088,L000373,2024-06-29,1385.13,Closed Won
OP000089,L000376,2025-03-27,4167.32,Open
OP000090,L000377,2026-02-01,2427.27,Closed Won
OP000091,L000380,2025-07-20,3663.09,Closed Won
OP000092,L000381,2024-04-23,7994.9,Closed Lost
OP000093,L000383,2024-01-23,6942.92,Open
OP000094,L000387,2024-02-14,9184.91,Closed Lost
OP000095,L000403,2026-04-16,1942.07,Closed Won
OP000096,L000404,2026-03-01,2366.28,Closed Lost
OP000097,L000407,2024-08-16,853.78,Open
OP000098,L000417,2024-11-16,2076.5,Closed Lost
OP000099,L000419,2025-01-01,12082.76,Closed Lost
OP000100,L000420,2024-09-23,846.79,Open
OP000101,L000421,2025-02-09,1436.84,Closed Won
OP000102,L000423,2024-05-07,3808.41,Closed Lost
OP000103,L000427,2025-01-17,1853.75,Closed Won
OP000104,L000431,2024-02-14,11786.32,Closed Won
OP000105,L000432,2024-03-25,1289.6,Closed Lost
OP000106,L000437,2024-04-10,374.37,Open
OP000107,L000443,2025-12-04,586.18,Closed Won
OP000108,L000446,2024-05-06,1057.06,Open
OP000109,L000449,2024-02-07,14408.35,Closed Won
OP000110,L000457,2024-06-26,4734.4,Closed Won
OP000111,L000458,2024-05-07,7061.82,Closed Won
OP000112,L000459,2025-11-14,1156.33,Closed Won
OP000113,L000461,2024-09-08,1150.28,Closed Won
OP000114,L000473,2025-08-25,7220.14,Closed Won
OP000115,L000477,2026-05-20,5396.56,Closed Won
OP000116,L000480,2025-04-01,1370.42,Closed Lost
