RevenueID,OpportunityID,LeadID,RevenueDate,RevenueAmount
REV000001,OP000003,L000010,2025-01-31,743.09
REV000002,OP000006,L000015,2025-07-27,2898.97
REV000003,OP000007,L000017,2026-06-30,3455.29
REV000004,OP000008,L000020,2025-02-28,7931.1
REV000005,OP000009,L000035,2025-01-10,1117.57
REV000006,OP000010,L000037,2026-08-16,2639.62
REV000007,OP000011,L000039,2025-10-24,973.33
REV000008,OP000012,L000045,2026-02-16,22084.74
REV000009,OP000013,L000052,2024-09-15,666.21
REV000010,OP000014,L000055,2024-02-01,1580.86
REV000011,OP000015,L000061,2025-08-20,4618.78
REV000012,OP000018,L000074,2025-01-17,1000.13
REV000013,OP000025,L000109,2026-09-13,6095.48
REV000014,OP000027,L000125,2026-03-10,736.25
REV000015,OP000028,L000128,2024-09-09,4924.06
REV000016,OP000030,L000142,2026-04-10,1396.7
REV000017,OP000033,L000151,2025-09-26,6662.22
REV000018,OP000034,L000152,2025-12-09,13657.79
REV000019,OP000035,L000163,2024-02-05,3991.22
REV000020,OP000036,L000164,2025-08-31,4906.83
REV000021,OP000037,L000165,2024-09-07,3173.97
REV000022,OP000038,L000166,2026-01-11,1941.23
REV000023,OP000039,L000167,2026-03-26,8206.65
REV000024,OP000040,L000171,2024-10-31,5249.21
REV000025,OP000044,L000182,2025-01-26,6167.32
REV000026,OP000046,L000188,2024-10-20,4828.04
REV000027,OP000047,L000191,2025-10-29,6156.72
REV000028,OP000048,L000202,2026-01-04,2310.55
REV000029,OP000055,L000233,2026-02-10,1734.95
REV000030,OP000056,L000239,2024-12-05,706.18
REV000031,OP000058,L000243,2024-06-03,487.23
REV000032,OP000061,L000249,2025-05-03,1461.38
REV000033,OP000062,L000251,2024-05-28,9462.24
REV000034,OP000065,L000271,2026-08-21,4313.34
REV000035,OP000066,L000272,2024-03-08,2513.25
REV000036,OP000067,L000273,2025-02-13,3199.9
REV000037,OP000068,L000274,2025-07-16,3540.57
REV000038,OP000070,L000277,2024-10-15,881.41
REV000039,OP000073,L000290,2024-04-11,1954.41
REV000040,OP000075,L000304,2024-12-27,3029.19
REV000041,OP000076,L000305,2025-05-12,4493.82
REV000042,OP000077,L000307,2025-05-10,9458.71
REV000043,OP000078,L000313,2024-10-10,6512.19
REV000044,OP000080,L000340,2024-04-09,50937.22
REV000045,OP000082,L000343,2024-02-21,621.03
REV000046,OP000083,L000355,2025-03-21,1290.28
REV000047,OP000085,L000365,2025-07-14,1146.37
REV000048,OP000087,L000370,2026-03-16,2057.97
REV000049,OP000088,L000373,2024-07-05,1385.13
REV000050,OP000090,L000377,2026-02-20,2427.27
REV000051,OP000091,L000380,2025-07-25,3663.09
REV000052,OP000095,L000403,2026-04-22,1942.07
REV000053,OP000101,L000421,2025-02-13,1436.84
REV000054,OP000103,L000427,2025-01-26,1853.75
REV000055,OP000104,L000431,2024-02-16,11786.32
REV000056,OP000107,L000443,2025-12-16,586.18
REV000057,OP000109,L000449,2024-02-10,14408.35
REV000058,OP000110,L000457,2024-07-06,4734.4
REV000059,OP000111,L000458,2024-05-15,7061.82
REV000060,OP000112,L000459,2025-11-26,1156.33
REV000061,OP000113,L000461,2024-09-13,1150.28
REV000062,OP000114,L000473,2025-09-09,7220.14
REV000063,OP000115,L000477,2026-05-30,5396.56
REV000064,OP000117,L000484,2025-10-27,1153.02
REV000065,OP000118,L000487,2024-05-21,2759.22
REV000066,OP000119,L000490,2026-04-04,1728.87
REV000067,OP000120,L000496,2024-06-09,1576.77
REV000068,OP000121,L000499,2024-11-11,14080.54
REV000069,OP000123,L000516,2024-05-10,963.95
REV000070,OP000124,L000520,2025-12-07,1124.47
REV000071,OP000126,L000527,2025-12-11,1263.51
REV000072,OP000130,L000547,2026-06-16,7075.39
REV000073,OP000132,L000560,2026-05-31,3921.51
REV000074,OP000134,L000567,2025-08-30,5934.97
REV000075,OP000135,L000568,2025-04-13,1368.04
REV000076,OP000136,L000572,2025-04-09,4555.1
REV000077,OP000138,L000584,2024-08-19,5264.2
REV000078,OP000139,L000585,2025-07-16,3692.85
REV000079,OP000141,L000588,2026-08-02,1469.17
REV000080,OP000142,L000589,2025-08-09,3475.14
REV000081,OP000143,L000590,2025-01-07,4167.37
REV000082,OP000144,L000593,2025-05-08,5634.92
REV000083,OP000145,L000602,2026-07-21,2054.44
REV000084,OP000146,L000605,2026-03-04,250.0
REV000085,OP000148,L000613,2025-10-31,4155.93
REV000086,OP000149,L000614,2024-03-29,3703.93
REV000087,OP000150,L000616,2026-07-10,2491.81
REV000088,OP000151,L000620,2026-06-07,1074.66
REV000089,OP000152,L000621,2026-02-20,3486.21
REV000090,OP000156,L000635,2025-06-27,1179.27
REV000091,OP000157,L000636,2024-08-31,1744.42
REV000092,OP000158,L000637,2025-03-03,3841.84
REV000093,OP000159,L000642,2025-11-28,1780.53
REV000094,OP000160,L000651,2024-03-21,21833.18
REV000095,OP000162,L000653,2025-09-09,5080.04
REV000096,OP000164,L000658,2024-03-17,16335.9
REV000097,OP000165,L000664,2025-03-10,1519.78
REV000098,OP000166,L000670,2026-06-05,947.05
REV000099,OP000171,L000688,2024-02-01,3483.97
REV000100,OP000172,L000703,2025-08-12,6806.55
REV000101,OP000173,L000705,2025-07-05,3344.54
REV000102,OP000176,L000726,2024-09-07,13437.98
REV000103,OP000177,L000732,2026-05-16,1682.65
REV000104,OP000178,L000745,2026-01-30,5019.39
REV000105,OP000179,L000748,2024-07-13,1211.9
REV000106,OP000180,L000749,2024-05-24,1883.11
REV000107,OP000182,L000758,2025-11-16,1666.12
REV000108,OP000183,L000765,2025-10-17,10469.93
REV000109,OP000186,L000768,2026-02-02,2639.29
REV000110,OP000188,L000778,2024-05-22,6473.94
REV000111,OP000190,L000783,2025-07-07,326.52
REV000112,OP000191,L000786,2024-02-05,762.9
REV000113,OP000192,L000787,2025-05-30,9024.83
REV000114,OP000193,L000790,2025-06-03,34892.9
REV000115,OP000194,L000795,2024-10-21,5136.57
REV000116,OP000195,L000799,2024-07-15,1373.21
REV000117,OP000196,L000808,2024-05-12,2406.78
REV000118,OP000197,L000811,2025-02-16,20694.65
REV000119,OP000198,L000820,2024-09-25,10488.64
REV000120,OP000201,L000827,2024-05-27,1476.82
REV000121,OP000202,L000832,2025-03-05,2273.2
REV000122,OP000203,L000834,2024-08-02,13097.99
REV000123,OP000205,L000838,2025-01-07,1252.48
REV000124,OP000206,L000839,2026-09-16,1053.47
REV000125,OP000207,L000840,2024-03-31,37724.87
REV000126,OP000208,L000849,2025-11-29,17887.21
REV000127,OP000212,L000868,2026-01-17,6922.46
REV000128,OP000213,L000871,2024-06-07,1325.35
REV000129,OP000215,L000890,2026-02-08,4277.37
REV000130,OP000217,L000895,2024-12-14,1863.06
REV000131,OP000219,L000898,2024-08-07,750.36
REV000132,OP000220,L000906,2024-03-12,2379.39
REV000133,OP000221,L000911,2024-08-23,1557.87
REV000134,OP000222,L000918,2025-11-03,1219.39
REV000135,OP000223,L000919,2024-02-11,250.0
REV000136,OP000227,L000930,2024-08-29,1133.19
REV000137,OP000228,L000934,2025-08-17,561.43
REV000138,OP000229,L000939,2026-01-05,1941.89
REV000139,OP000231,L000950,2025-09-07,17489.02
REV000140,OP000232,L000952,2024-11-25,6315.25
REV000141,OP000233,L000960,2026-05-03,2218.81
REV000142,OP000234,L000962,2025-07-10,532.48
REV000143,OP000239,L000998,2025-02-10,1206.42
REV000144,OP000240,L000999,2025-12-31,1903.13
REV000145,OP000241,L001000,2025-01-18,1131.38
REV000146,OP000242,L001005,2026-07-17,1079.74
REV000147,OP000245,L001010,2024-02-15,7963.81
REV000148,OP000247,L001016,2025-02-20,12570.27
REV000149,OP000248,L001025,2026-07-09,2217.71
REV000150,OP000249,L001040,2026-01-15,981.01
REV000151,OP000250,L001052,2024-02-21,1124.37
REV000152,OP000251,L001061,2024-06-09,1609.06
REV000153,OP000252,L001062,2026-02-08,3980.1
REV000154,OP000253,L001069,2025-10-27,3672.94
REV000155,OP000255,L001072,2026-05-05,2358.25
REV000156,OP000256,L001075,2026-06-08,1717.68
REV000157,OP000257,L001079,2026-09-30,827.04
REV000158,OP000259,L001088,2026-02-17,553.07
REV000159,OP000260,L001093,2024-11-29,34109.73
REV000160,OP000263,L001101,2026-08-12,1934.95
REV000161,OP000264,L001106,2025-08-08,10174.25
REV000162,OP000265,L001108,2024-06-23,7226.82
REV000163,OP000266,L001111,2026-04-05,1572.17
REV000164,OP000270,L001125,2026-02-26,8420.06
REV000165,OP000273,L001136,2024-08-26,643.93
REV000166,OP000274,L001148,2025-06-21,967.48
REV000167,OP000275,L001149,2026-04-01,4287.54
REV000168,OP000276,L001150,2025-11-23,1023.88
REV000169,OP000279,L001158,2026-01-22,1535.17
REV000170,OP000281,L001163,2025-04-03,3670.52
REV000171,OP000286,L001178,2024-06-28,9640.38
REV000172,OP000287,L001185,2025-05-14,13320.59
REV000173,OP000289,L001192,2026-10-01,6638.91
REV000174,OP000290,L001194,2024-05-17,1981.68
REV000175,OP000293,L001200,2025-02-28,5451.49
REV000176,OP000294,L001206,2026-08-29,6242.69
REV000177,OP000295,L001207,2025-09-15,1761.09
REV000178,OP000298,L001219,2024-12-09,610.92
REV000179,OP000299,L001220,2026-08-07,1260.85
REV000180,OP000301,L001233,2026-07-30,2612.04
REV000181,OP000302,L001235,2024-10-16,2460.08
REV000182,OP000303,L001238,2026-06-13,3424.62
REV000183,OP000306,L001256,2025-11-14,5599.09
REV000184,OP000310,L001290,2024-03-23,1174.73
REV000185,OP000311,L001291,2025-12-03,7208.57
REV000186,OP000313,L001304,2025-05-07,4556.94
REV000187,OP000314,L001306,2025-08-31,1053.91
REV000188,OP000316,L001316,2024-11-12,15393.55
REV000189,OP000317,L001325,2025-08-16,4855.41
REV000190,OP000318,L001334,2024-06-17,4740.29
REV000191,OP000319,L001339,2026-07-23,9335.73
REV000192,OP000322,L001360,2024-08-15,5961.51
REV000193,OP000323,L001361,2024-02-29,1141.03
REV000194,OP000324,L001362,2025-03-09,4292.7
REV000195,OP000325,L001363,2024-03-30,11875.45
REV000196,OP000326,L001364,2026-04-23,9715.81
REV000197,OP000328,L001383,2024-02-16,713.87
REV000198,OP000329,L001385,2026-01-22,3241.12
REV000199,OP000330,L001386,2025-05-06,2485.17
REV000200,OP000331,L001392,2026-06-29,1782.3
REV000201,OP000333,L001406,2026-03-16,1330.45
REV000202,OP000335,L001414,2025-09-05,4533.36
REV000203,OP000336,L001415,2024-04-14,2074.03
REV000204,OP000339,L001427,2026-02-08,10781.62
REV000205,OP000341,L001438,2025-09-28,259.25
REV000206,OP000342,L001461,2025-05-09,3478.59
REV000207,OP000345,L001470,2026-08-15,736.56
REV000208,OP000346,L001472,2025-05-02,433.99
REV000209,OP000348,L001475,2024-08-31,2158.61
REV000210,OP000349,L001476,2026-08-04,3375.15
REV000211,OP000350,L001478,2026-02-10,33194.24
REV000212,OP000351,L001493,2026-03-27,690.89
REV000213,OP000352,L001496,2024-05-05,4794.99
REV000214,OP000353,L001498,2025-04-04,25348.46
REV000215,OP000354,L001501,2026-03-11,1233.85
REV000216,OP000355,L001512,2024-06-16,4311.79
REV000217,OP000357,L001522,2025-10-16,2982.39
REV000218,OP000360,L001541,2026-03-13,754.74
REV000219,OP000361,L001542,2025-08-06,11757.62
REV000220,OP000362,L001547,2025-04-17,1976.7
REV000221,OP000365,L001565,2026-08-18,1471.79
REV000222,OP000366,L001567,2025-07-07,1561.01
REV000223,OP000367,L001581,2026-01-11,6394.71
REV000224,OP000370,L001600,2025-04-07,2276.08
REV000225,OP000375,L001614,2025-09-16,1010.45
REV000226,OP000376,L001616,2024-10-01,657.95
REV000227,OP000377,L001620,2026-05-13,1541.83
REV000228,OP000378,L001621,2024-01-25,9286.51
REV000229,OP000379,L001624,2025-01-10,8124.62
REV000230,OP000380,L001626,2026-05-28,2821.91
REV000231,OP000381,L001631,2025-09-21,710.4
REV000232,OP000382,L001635,2024-08-04,4880.45
REV000233,OP000385,L001638,2025-02-16,1486.79
REV000234,OP000386,L001639,2026-08-13,10905.63
REV000235,OP000387,L001640,2024-07-30,1911.63
REV000236,OP000388,L001643,2026-02-11,16106.47
REV000237,OP000390,L001657,2024-03-17,14984.62
REV000238,OP000392,L001668,2025-03-17,953.72
REV000239,OP000394,L001673,2025-06-02,24080.48
REV000240,OP000398,L001686,2025-04-27,2435.81
REV000241,OP000400,L001699,2026-08-11,10770.31
REV000242,OP000401,L001718,2026-01-28,8273.84
REV000243,OP000404,L001741,2024-11-23,3258.68
REV000244,OP000405,L001744,2024-11-18,1948.51
REV000245,OP000406,L001746,2025-04-03,6498.36
REV000246,OP000409,L001760,2024-11-02,1914.02
REV000247,OP000412,L001768,2026-06-15,565.0
REV000248,OP000414,L001774,2024-08-12,25397.15
REV000249,OP000415,L001776,2025-05-28,10098.14
REV000250,OP000416,L001781,2025-02-18,3324.97
REV000251,OP000417,L001786,2026-05-01,525.61
REV000252,OP000420,L001790,2026-01-22,826.37
REV000253,OP000421,L001795,2024-12-17,1839.92
REV000254,OP000423,L001809,2026-04-24,7056.5
REV000255,OP000424,L001810,2024-10-17,338.97
REV000256,OP000425,L001811,2025-02-07,8488.77
