TouchpointID,LeadID,TouchDate,CampaignID,ChannelID,TouchSequence,TouchType
TP00000001,L000001,2025-03-09,CAM0065,CH05,1,Email Open
TP00000002,L000001,2025-04-03,CAM0084,CH07,2,Website Visit
TP00000003,L000001,2025-04-06,CAM0150,CH02,3,Email Open
TP00000004,L000001,2025-03-14,CAM0024,CH04,4,Email Open
TP00000005,L000002,2024-10-21,CAM0010,CH04,1,Impression
TP00000006,L000003,2024-11-16,CAM0023,CH02,1,Form Submit
TP00000007,L000003,2024-11-21,CAM0019,CH02,2,Email Open
TP00000008,L000003,2024-12-02,CAM0227,CH06,3,Website Visit
TP00000009,L000003,2024-10-25,CAM0224,CH06,4,Form Submit
TP00000010,L000003,2024-11-17,CAM0063,CH04,5,Email Open
TP00000011,L000004,2026-07-25,CAM0209,CH03,1,Click
TP00000012,L000004,2026-08-22,CAM0286,CH05,2,Impression
TP00000013,L000004,2026-08-31,CAM0084,CH07,3,Form Submit
TP00000014,L000005,2024-08-17,CAM0127,CH07,1,Website Visit
TP00000015,L000005,2024-08-16,CAM0235,CH02,2,Impression
TP00000016,L000005,2024-09-01,CAM0017,CH02,3,Impression
TP00000017,L000005,2024-08-11,CAM0169,CH05,4,Form Submit
TP00000018,L000005,2024-08-08,CAM0170,CH02,5,Website Visit
TP00000019,L000006,2024-04-27,CAM0233,CH04,1,Email Open
TP00000020,L000007,2024-09-07,CAM0271,CH02,1,Form Submit
TP00000021,L000007,2024-09-19,CAM0257,CH07,2,Website Visit
TP00000022,L000007,2024-09-10,CAM0185,CH06,3,Impression
TP00000023,L000007,2024-08-16,CAM0165,CH07,4,Impression
TP00000024,L000008,2025-05-15,CAM0014,CH01,1,Impression
TP00000025,L000008,2025-05-18,CAM0114,CH05,2,Form Submit
TP00000026,L000008,2025-05-18,CAM0230,CH02,3,Email Open
TP00000027,L000008,2025-05-29,CAM0281,CH05,4,Website Visit
TP00000028,L000008,2025-04-21,CAM0131,CH06,5,Website Visit
TP00000029,L000008,2025-05-14,CAM0189,CH03,6,Email Open
TP00000030,L000009,2025-05-12,CAM0148,CH04,1,Email Open
TP00000031,L000009,2025-05-06,CAM0227,CH06,2,Email Open
TP00000032,L000010,2024-12-06,CAM0254,CH01,1,Form Submit
TP00000033,L000010,2024-12-28,CAM0269,CH03,2,Email Open
TP00000034,L000010,2024-12-22,CAM0071,CH04,3,Click
TP00000035,L000010,2024-12-24,CAM0287,CH05,4,Form Submit
TP00000036,L000010,2024-12-10,CAM0067,CH07,5,Form Submit
TP00000037,L000010,2024-12-26,CAM0231,CH05,6,Website Visit
TP00000038,L000011,2024-06-16,CAM0264,CH03,1,Click
TP00000039,L000011,2024-07-13,CAM0293,CH05,2,Impression
TP00000040,L000011,2024-07-15,CAM0069,CH04,3,Impression
TP00000041,L000011,2024-07-07,CAM0259,CH06,4,Impression
TP00000042,L000012,2024-10-03,CAM0177,CH07,1,Website Visit
TP00000043,L000012,2024-10-08,CAM0115,CH06,2,Click
TP00000044,L000013,2024-08-17,CAM0218,CH07,1,Form Submit
TP00000045,L000013,2024-08-16,CAM0261,CH04,2,Impression
TP00000046,L000013,2024-09-19,CAM0291,CH02,3,Form Submit
TP00000047,L000014,2025-10-24,CAM0079,CH07,1,Click
TP00000048,L000014,2025-10-06,CAM0255,CH03,2,Impression
TP00000049,L000014,2025-10-26,CAM0003,CH07,3,Form Submit
TP00000050,L000014,2025-11-04,CAM0186,CH05,4,Website Visit
TP00000051,L000014,2025-10-28,CAM0163,CH01,5,Website Visit
TP00000052,L000015,2025-06-30,CAM0139,CH06,1,Impression
TP00000053,L000015,2025-06-20,CAM0026,CH03,2,Impression
