ProviderID,ProviderName,Specialty,FacilityID
PR00001,Provider 00001,Neurology,F010
PR00002,Provider 00002,Neurology,F013
PR00003,Provider 00003,Orthopaedics,F026
PR00004,Provider 00004,Radiology,F029
PR00005,Provider 00005,General Medicine,F013
PR00006,Provider 00006,Radiology,F008
PR00007,Provider 00007,Orthopaedics,F019
PR00008,Provider 00008,Neurology,F012
PR00009,Provider 00009,Radiology,F013
PR00010,Provider 00010,ENT,F016
PR00011,Provider 00011,Oncology,F023
PR00012,Provider 00012,ENT,F026
PR00013,Provider 00013,Radiology,F022
PR00014,Provider 00014,Cardiology,F030
PR00015,Provider 00015,Radiology,F005
PR00016,Provider 00016,Orthopaedics,F006
PR00017,Provider 00017,Neurology,F020
PR00018,Provider 00018,Neurology,F016
PR00019,Provider 00019,Cardiology,F021
PR00020,Provider 00020,Dermatology,F011
PR00021,Provider 00021,Cardiology,F025
PR00022,Provider 00022,Orthopaedics,F010
PR00023,Provider 00023,Orthopaedics,F015
PR00024,Provider 00024,Dermatology,F004
PR00025,Provider 00025,Orthopaedics,F015
PR00026,Provider 00026,Radiology,F003
PR00027,Provider 00027,Dermatology,F018
PR00028,Provider 00028,Dermatology,F022
PR00029,Provider 00029,ENT,F019
PR00030,Provider 00030,Dermatology,F006
PR00031,Provider 00031,ENT,F029
PR00032,Provider 00032,Dermatology,F026
PR00033,Provider 00033,Cardiology,F023
PR00034,Provider 00034,ENT,F015
PR00035,Provider 00035,General Medicine,F001
PR00036,Provider 00036,Oncology,F030
PR00037,Provider 00037,General Medicine,F002
PR00038,Provider 00038,General Medicine,F014
PR00039,Provider 00039,Neurology,F011
PR00040,Provider 00040,Oncology,F015
PR00041,Provider 00041,Oncology,F029
PR00042,Provider 00042,Orthopaedics,F009
PR00043,Provider 00043,General Medicine,F019
PR00044,Provider 00044,Neurology,F029
PR00045,Provider 00045,Radiology,F014
PR00046,Provider 00046,General Medicine,F009
PR00047,Provider 00047,Cardiology,F007
PR00048,Provider 00048,General Medicine,F024
PR00049,Provider 00049,Radiology,F016
PR00050,Provider 00050,General Medicine,F017
PR00051,Provider 00051,ENT,F030
PR00052,Provider 00052,Dermatology,F026
PR00053,Provider 00053,General Medicine,F023
PR00054,Provider 00054,ENT,F014
PR00055,Provider 00055,Cardiology,F025
PR00056,Provider 00056,ENT,F013
PR00057,Provider 00057,ENT,F025
PR00058,Provider 00058,General Medicine,F016
PR00059,Provider 00059,Cardiology,F019
PR00060,Provider 00060,Cardiology,F013
PR00061,Provider 00061,Dermatology,F008
PR00062,Provider 00062,Radiology,F014
PR00063,Provider 00063,ENT,F030
PR00064,Provider 00064,Cardiology,F028
PR00065,Provider 00065,Radiology,F027
PR00066,Provider 00066,ENT,F021
PR00067,Provider 00067,Dermatology,F013
PR00068,Provider 00068,Dermatology,F020
PR00069,Provider 00069,ENT,F021
PR00070,Provider 00070,Dermatology,F025
PR00071,Provider 00071,Oncology,F003
PR00072,Provider 00072,Neurology,F027
PR00073,Provider 00073,Orthopaedics,F030
PR00074,Provider 00074,Dermatology,F011
PR00075,Provider 00075,ENT,F024
PR00076,Provider 00076,General Medicine,F018
PR00077,Provider 00077,Neurology,F006
PR00078,Provider 00078,Orthopaedics,F029
